==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-22 12:38:07
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  A/stop_2 tp_3: count=20, WR=50.0%, Exp=0.994, AvgHold=22.0bars, TP%=50.0%
  A/stop_2 tp_3_wBias: count=20, WR=50.0%, Exp=0.994, AvgHold=22.0bars, TP%=50.0%
  A/stop_2 tp_5: count=20, WR=25.0%, Exp=1.027, AvgHold=36.0bars, TP%=25.0%
  A/stop_2 tp_5_wBias: count=20, WR=25.0%, Exp=1.027, AvgHold=36.0bars, TP%=25.0%
  A/stop_2 tp_7: count=20, WR=5.0%, Exp=1.032, AvgHold=42.0bars, TP%=5.0%
  A/stop_2 tp_7_wBias: count=20, WR=5.0%, Exp=1.032, AvgHold=42.0bars, TP%=5.0%
  A/stop_atr tp_3: count=20, WR=35.0%, Exp=0.614, AvgHold=18.0bars, TP%=35.0%
  A/stop_atr tp_3_wBias: count=20, WR=35.0%, Exp=0.614, AvgHold=18.0bars, TP%=35.0%
  A/stop_atr tp_5: count=20, WR=20.0%, Exp=0.668, AvgHold=29.6bars, TP%=20.0%
  A/stop_atr tp_5_wBias: count=20, WR=20.0%, Exp=0.668, AvgHold=29.6bars, TP%=20.0%
  A/stop_atr tp_7: count=20, WR=5.0%, Exp=0.626, AvgHold=33.9bars, TP%=5.0%
  A/stop_atr tp_7_wBias: count=20, WR=5.0%, Exp=0.626, AvgHold=33.9bars, TP%=5.0%
  B/stop_2 tp_3: count=5, WR=60.0%, Exp=1.355, AvgHold=11.6bars, TP%=60.0%
  B/stop_2 tp_3_wBias: count=5, WR=60.0%, Exp=1.355, AvgHold=11.6bars, TP%=60.0%
  B/stop_2 tp_5: count=5, WR=20.0%, Exp=0.547, AvgHold=32.0bars, TP%=20.0%
  B/stop_2 tp_5_wBias: count=5, WR=20.0%, Exp=0.547, AvgHold=32.0bars, TP%=20.0%
  B/stop_2 tp_7: count=5, WR=20.0%, Exp=0.947, AvgHold=32.2bars, TP%=20.0%
  B/stop_2 tp_7_wBias: count=5, WR=20.0%, Exp=0.947, AvgHold=32.2bars, TP%=20.0%
  B/stop_atr tp_3: count=5, WR=60.0%, Exp=1.459, AvgHold=11.4bars, TP%=60.0%
  B/stop_atr tp_3_wBias: count=5, WR=60.0%, Exp=1.459, AvgHold=11.4bars, TP%=60.0%
  B/stop_atr tp_5: count=5, WR=20.0%, Exp=0.651, AvgHold=31.8bars, TP%=20.0%
  B/stop_atr tp_5_wBias: count=5, WR=20.0%, Exp=0.651, AvgHold=31.8bars, TP%=20.0%
  B/stop_atr tp_7: count=5, WR=20.0%, Exp=1.051, AvgHold=32.0bars, TP%=20.0%
  B/stop_atr tp_7_wBias: count=5, WR=20.0%, Exp=1.051, AvgHold=32.0bars, TP%=20.0%
  C/stop_2 tp_3: count=13, WR=30.8%, Exp=0.299, AvgHold=25.6bars, TP%=30.8%
  C/stop_2 tp_3_wBias: count=13, WR=30.8%, Exp=0.299, AvgHold=25.6bars, TP%=30.8%
  C/stop_2 tp_5: count=13, WR=7.7%, Exp=0.16, AvgHold=31.2bars, TP%=7.7%
  C/stop_2 tp_5_wBias: count=13, WR=7.7%, Exp=0.16, AvgHold=31.2bars, TP%=7.7%
  C/stop_2 tp_7: count=13, WR=7.7%, Exp=0.314, AvgHold=31.3bars, TP%=7.7%
  C/stop_2 tp_7_wBias: count=13, WR=7.7%, Exp=0.314, AvgHold=31.3bars, TP%=7.7%
  C/stop_atr tp_3: count=13, WR=15.4%, Exp=-0.064, AvgHold=22.8bars, TP%=15.4%
  C/stop_atr tp_3_wBias: count=13, WR=15.4%, Exp=-0.064, AvgHold=22.8bars, TP%=15.4%
  C/stop_atr tp_5: count=13, WR=7.7%, Exp=-0.016, AvgHold=25.6bars, TP%=7.7%
  C/stop_atr tp_5_wBias: count=13, WR=7.7%, Exp=-0.016, AvgHold=25.6bars, TP%=7.7%
  C/stop_atr tp_7: count=13, WR=7.7%, Exp=0.137, AvgHold=25.7bars, TP%=7.7%
  C/stop_atr tp_7_wBias: count=13, WR=7.7%, Exp=0.137, AvgHold=25.7bars, TP%=7.7%
  D/stop_2 tp_3: count=2, WR=50.0%, Exp=0.5, AvgHold=3.5bars, TP%=50.0%
  D/stop_2 tp_3_wBias: count=2, WR=50.0%, Exp=0.5, AvgHold=3.5bars, TP%=50.0%
  D/stop_2 tp_5: count=2, WR=0.0%, Exp=-0.856, AvgHold=28.0bars, TP%=0.0%
  D/stop_2 tp_5_wBias: count=2, WR=0.0%, Exp=-0.856, AvgHold=28.0bars, TP%=0.0%
  D/stop_2 tp_7: count=2, WR=0.0%, Exp=-0.856, AvgHold=28.0bars, TP%=0.0%
  D/stop_2 tp_7_wBias: count=2, WR=0.0%, Exp=-0.856, AvgHold=28.0bars, TP%=0.0%
  D/stop_atr tp_3: count=2, WR=50.0%, Exp=0.931, AvgHold=3.5bars, TP%=50.0%
  D/stop_atr tp_3_wBias: count=2, WR=50.0%, Exp=0.931, AvgHold=3.5bars, TP%=50.0%
  D/stop_atr tp_5: count=2, WR=0.0%, Exp=-0.425, AvgHold=28.0bars, TP%=0.0%
  D/stop_atr tp_5_wBias: count=2, WR=0.0%, Exp=-0.425, AvgHold=28.0bars, TP%=0.0%
  D/stop_atr tp_7: count=2, WR=0.0%, Exp=-0.425, AvgHold=28.0bars, TP%=0.0%
  D/stop_atr tp_7_wBias: count=2, WR=0.0%, Exp=-0.425, AvgHold=28.0bars, TP%=0.0%

ETH/USDT:
  A/stop_2 tp_3: count=16, WR=25.0%, Exp=-0.352, AvgHold=23.2bars, TP%=25.0%
  A/stop_2 tp_3_wBias: count=16, WR=25.0%, Exp=-0.352, AvgHold=23.2bars, TP%=25.0%
  A/stop_2 tp_5: count=16, WR=25.0%, Exp=0.148, AvgHold=24.9bars, TP%=25.0%
  A/stop_2 tp_5_wBias: count=16, WR=25.0%, Exp=0.148, AvgHold=24.9bars, TP%=25.0%
  A/stop_2 tp_7: count=16, WR=18.8%, Exp=0.419, AvgHold=28.9bars, TP%=18.8%
  A/stop_2 tp_7_wBias: count=16, WR=18.8%, Exp=0.419, AvgHold=28.9bars, TP%=18.8%
  A/stop_atr tp_3: count=16, WR=25.0%, Exp=-0.11, AvgHold=19.0bars, TP%=25.0%
  A/stop_atr tp_3_wBias: count=16, WR=25.0%, Exp=-0.11, AvgHold=19.0bars, TP%=25.0%
  A/stop_atr tp_5: count=16, WR=25.0%, Exp=0.39, AvgHold=20.8bars, TP%=25.0%
  A/stop_atr tp_5_wBias: count=16, WR=25.0%, Exp=0.39, AvgHold=20.8bars, TP%=25.0%
  A/stop_atr tp_7: count=16, WR=18.8%, Exp=0.661, AvgHold=24.8bars, TP%=18.8%
  A/stop_atr tp_7_wBias: count=16, WR=18.8%, Exp=0.661, AvgHold=24.8bars, TP%=18.8%
  B/stop_2 tp_3: count=4, WR=50.0%, Exp=1.199, AvgHold=10.0bars, TP%=50.0%
  B/stop_2 tp_3_wBias: count=4, WR=50.0%, Exp=1.199, AvgHold=10.0bars, TP%=50.0%
  B/stop_2 tp_5: count=4, WR=25.0%, Exp=0.449, AvgHold=14.8bars, TP%=25.0%
  B/stop_2 tp_5_wBias: count=4, WR=25.0%, Exp=0.449, AvgHold=14.8bars, TP%=25.0%
  B/stop_2 tp_7: count=4, WR=25.0%, Exp=0.949, AvgHold=14.8bars, TP%=25.0%
  B/stop_2 tp_7_wBias: count=4, WR=25.0%, Exp=0.949, AvgHold=14.8bars, TP%=25.0%
  B/stop_atr tp_3: count=4, WR=50.0%, Exp=1.369, AvgHold=10.0bars, TP%=50.0%
  B/stop_atr tp_3_wBias: count=4, WR=50.0%, Exp=1.369, AvgHold=10.0bars, TP%=50.0%
  B/stop_atr tp_5: count=4, WR=25.0%, Exp=0.798, AvgHold=14.8bars, TP%=25.0%
  B/stop_atr tp_5_wBias: count=4, WR=25.0%, Exp=0.798, AvgHold=14.8bars, TP%=25.0%
  B/stop_atr tp_7: count=4, WR=25.0%, Exp=1.298, AvgHold=14.8bars, TP%=25.0%
  B/stop_atr tp_7_wBias: count=4, WR=25.0%, Exp=1.298, AvgHold=14.8bars, TP%=25.0%
  C/stop_2 tp_3: count=11, WR=27.3%, Exp=-0.057, AvgHold=24.2bars, TP%=27.3%
  C/stop_2 tp_3_wBias: count=11, WR=27.3%, Exp=-0.057, AvgHold=24.2bars, TP%=27.3%
  C/stop_2 tp_5: count=11, WR=27.3%, Exp=0.488, AvgHold=26.1bars, TP%=27.3%
  C/stop_2 tp_5_wBias: count=11, WR=27.3%, Exp=0.488, AvgHold=26.1bars, TP%=27.3%
  C/stop_2 tp_7: count=11, WR=27.3%, Exp=1.033, AvgHold=26.4bars, TP%=27.3%
  C/stop_2 tp_7_wBias: count=11, WR=27.3%, Exp=1.033, AvgHold=26.4bars, TP%=27.3%
  C/stop_atr tp_3: count=11, WR=27.3%, Exp=0.275, AvgHold=15.8bars, TP%=27.3%
  C/stop_atr tp_3_wBias: count=11, WR=27.3%, Exp=0.275, AvgHold=15.8bars, TP%=27.3%
  C/stop_atr tp_5: count=11, WR=27.3%, Exp=0.821, AvgHold=17.7bars, TP%=27.3%
  C/stop_atr tp_5_wBias: count=11, WR=27.3%, Exp=0.821, AvgHold=17.7bars, TP%=27.3%
  C/stop_atr tp_7: count=11, WR=27.3%, Exp=1.366, AvgHold=18.0bars, TP%=27.3%
