==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  A/stop_2 tp_3: count=20, WR=35.0%, Exp=-0.25, AvgHold=28.2bars, TP%=35.0%
  A/stop_2 tp_3_wBias: count=20, WR=35.0%, Exp=-0.25, AvgHold=28.2bars, TP%=35.0%
  A/stop_2 tp_5: count=20, WR=10.0%, Exp=-0.579, AvgHold=38.0bars, TP%=10.0%
  A/stop_2 tp_5_wBias: count=20, WR=10.0%, Exp=-0.579, AvgHold=38.0bars, TP%=10.0%
  A/stop_2 tp_7: count=20, WR=5.0%, Exp=-0.677, AvgHold=40.6bars, TP%=5.0%
  A/stop_2 tp_7_wBias: count=20, WR=5.0%, Exp=-0.677, AvgHold=40.6bars, TP%=5.0%
  A/stop_atr tp_3: count=20, WR=25.0%, Exp=0.022, AvgHold=20.8bars, TP%=25.0%
  A/stop_atr tp_3_wBias: count=20, WR=25.0%, Exp=0.022, AvgHold=20.8bars, TP%=25.0%
  A/stop_atr tp_5: count=20, WR=10.0%, Exp=-0.198, AvgHold=28.6bars, TP%=10.0%
  A/stop_atr tp_5_wBias: count=20, WR=10.0%, Exp=-0.198, AvgHold=28.6bars, TP%=10.0%
  A/stop_atr tp_7: count=20, WR=5.0%, Exp=-0.296, AvgHold=31.2bars, TP%=5.0%
  A/stop_atr tp_7_wBias: count=20, WR=5.0%, Exp=-0.296, AvgHold=31.2bars, TP%=5.0%
  B/stop_2 tp_3: count=6, WR=50.0%, Exp=0.5, AvgHold=15.0bars, TP%=50.0%
  B/stop_2 tp_3_wBias: count=6, WR=50.0%, Exp=0.5, AvgHold=15.0bars, TP%=50.0%
  B/stop_2 tp_5: count=6, WR=16.7%, Exp=-0.404, AvgHold=36.2bars, TP%=16.7%
  B/stop_2 tp_5_wBias: count=6, WR=16.7%, Exp=-0.404, AvgHold=36.2bars, TP%=16.7%
  B/stop_2 tp_7: count=6, WR=16.7%, Exp=-0.071, AvgHold=36.3bars, TP%=16.7%
  B/stop_2 tp_7_wBias: count=6, WR=16.7%, Exp=-0.071, AvgHold=36.3bars, TP%=16.7%
  B/stop_atr tp_3: count=6, WR=50.0%, Exp=1.056, AvgHold=11.7bars, TP%=50.0%
  B/stop_atr tp_3_wBias: count=6, WR=50.0%, Exp=1.056, AvgHold=11.7bars, TP%=50.0%
  B/stop_atr tp_5: count=6, WR=16.7%, Exp=0.196, AvgHold=32.0bars, TP%=16.7%
  B/stop_atr tp_5_wBias: count=6, WR=16.7%, Exp=0.196, AvgHold=32.0bars, TP%=16.7%
  B/stop_atr tp_7: count=6, WR=16.7%, Exp=0.529, AvgHold=32.2bars, TP%=16.7%
  B/stop_atr tp_7_wBias: count=6, WR=16.7%, Exp=0.529, AvgHold=32.2bars, TP%=16.7%
  C/stop_2 tp_3: count=16, WR=25.0%, Exp=-0.75, AvgHold=31.1bars, TP%=25.0%
  C/stop_2 tp_3_wBias: count=16, WR=25.0%, Exp=-0.75, AvgHold=31.1bars, TP%=25.0%
  C/stop_2 tp_5: count=16, WR=6.2%, Exp=-0.863, AvgHold=35.7bars, TP%=6.2%
  C/stop_2 tp_5_wBias: count=16, WR=6.2%, Exp=-0.863, AvgHold=35.7bars, TP%=6.2%
  C/stop_2 tp_7: count=16, WR=6.2%, Exp=-0.738, AvgHold=35.8bars, TP%=6.2%
  C/stop_2 tp_7_wBias: count=16, WR=6.2%, Exp=-0.738, AvgHold=35.8bars, TP%=6.2%
  C/stop_atr tp_3: count=16, WR=12.5%, Exp=-0.471, AvgHold=23.1bars, TP%=12.5%
  C/stop_atr tp_3_wBias: count=16, WR=12.5%, Exp=-0.471, AvgHold=23.1bars, TP%=12.5%
  C/stop_atr tp_5: count=16, WR=6.2%, Exp=-0.432, AvgHold=25.3bars, TP%=6.2%
  C/stop_atr tp_5_wBias: count=16, WR=6.2%, Exp=-0.432, AvgHold=25.3bars, TP%=6.2%
  C/stop_atr tp_7: count=16, WR=6.2%, Exp=-0.307, AvgHold=25.4bars, TP%=6.2%
