timestamp,open,high,low,close,volume,datetime
1776293100000,9.512,9.525,9.483,9.485,12150.4847,2026-04-15 22:45:00
1776294000000,9.477,9.477,9.442,9.445,14549.2321,2026-04-15 23:00:00
1776294900000,9.445,9.445,9.404,9.417,12949.0993,2026-04-15 23:15:00
1776295800000,9.419,9.424,9.388,9.404,13822.5065,2026-04-15 23:30:00
1776296700000,9.414,9.434,9.409,9.431,11249.1206,2026-04-15 23:45:00
1776297600000,9.436,9.448,9.399,9.399,11862.5005,2026-04-16 00:00:00
1776298500000,9.398,9.408,9.371,9.38,17865.3309,2026-04-16 00:15:00
1776299400000,9.388,9.42,9.388,9.403,16954.8314,2026-04-16 00:30:00
1776300300000,9.401,9.414,9.379,9.405,10435.6499,2026-04-16 00:45:00
1776301200000,9.405,9.405,9.345,9.364,10647.741,2026-04-16 01:00:00
1776302100000,9.369,9.392,9.356,9.362,4153.8676,2026-04-16 01:15:00
1776303000000,9.364,9.389,9.36,9.386,1845.4178,2026-04-16 01:30:00
1776303900000,9.384,9.393,9.351,9.366,4800.5221,2026-04-16 01:45:00
1776304800000,9.372,9.4,9.372,9.385,3128.6978,2026-04-16 02:00:00
1776305700000,9.379,9.429,9.369,9.429,7731.1914,2026-04-16 02:15:00
1776306600000,9.431,9.488,9.431,9.484,4301.6077,2026-04-16 02:30:00
1776307500000,9.489,9.497,9.435,9.443,11276.1472,2026-04-16 02:45:00
1776308400000,9.442,9.47,9.431,9.463,6806.342,2026-04-16 03:00:00
1776309300000,9.468,9.473,9.421,9.423,9131.9765,2026-04-16 03:15:00
1776310200000,9.421,9.466,9.415,9.46,13247.8605,2026-04-16 03:30:00
1776311100000,9.46,9.514,9.45,9.485,7190.2649,2026-04-16 03:45:00
1776312000000,9.49,9.535,9.477,9.52,9703.10924122,2026-04-16 04:00:00
1776312900000,9.527,9.528,9.494,9.514,9349.9032,2026-04-16 04:15:00
1776313800000,9.511,9.552,9.499,9.534,11056.1881,2026-04-16 04:30:00
1776314700000,9.533,9.539,9.47,9.482,13244.5315,2026-04-16 04:45:00
1776315600000,9.485,9.498,9.462,9.472,12195.8467,2026-04-16 05:00:00
1776316500000,9.468,9.499,9.465,9.496,11435.7352,2026-04-16 05:15:00
1776317400000,9.495,9.517,9.487,9.499,8933.3954,2026-04-16 05:30:00
1776318300000,9.495,9.512,9.494,9.494,7519.5491,2026-04-16 05:45:00
1776319200000,9.509,9.533,9.504,9.522,11023.2667,2026-04-16 06:00:00
1776320100000,9.515,9.526,9.506,9.508,10723.7939,2026-04-16 06:15:00
1776321000000,9.516,9.53,9.503,9.518,13286.0939,2026-04-16 06:30:00
1776321900000,9.516,9.564,9.516,9.564,9511.0074,2026-04-16 06:45:00
1776322800000,9.569,9.607,9.559,9.58,8942.2036,2026-04-16 07:00:00
1776323700000,9.581,9.617,9.558,9.565,10236.9254,2026-04-16 07:15:00
1776324600000,9.565,9.569,9.539,9.552,5049.0353,2026-04-16 07:30:00
1776325500000,9.544,9.544,9.493,9.51,7170.5852,2026-04-16 07:45:00
1776326400000,9.511,9.516,9.476,9.476,2855.6133,2026-04-16 08:00:00
1776327300000,9.474,9.505,9.471,9.486,12938.6351,2026-04-16 08:15:00
1776328200000,9.482,9.495,9.464,9.474,5295.5313,2026-04-16 08:30:00
1776329100000,9.476,9.49,9.441,9.444,7502.8063,2026-04-16 08:45:00
1776330000000,9.44,9.465,9.431,9.465,9460.2796,2026-04-16 09:00:00
1776330900000,9.465,9.507,9.465,9.485,9005.998,2026-04-16 09:15:00
1776331800000,9.49,9.49,9.445,9.446,11166.6133,2026-04-16 09:30:00
1776332700000,9.453,9.454,9.434,9.434,298.7435,2026-04-16 09:45:00
1776333600000,9.431,9.439,9.357,9.363,9232.3608,2026-04-16 10:00:00
1776334500000,9.362,9.394,9.346,9.376,9917.8696,2026-04-16 10:15:00
1776335400000,9.375,9.414,9.375,9.4,5376.2434,2026-04-16 10:30:00
1776336300000,9.401,9.421,9.387,9.409,4072.3721,2026-04-16 10:45:00
1776337200000,9.399,9.402,9.383,9.391,4055.8492,2026-04-16 11:00:00
1776338100000,9.391,9.416,9.389,9.413,3737.9125,2026-04-16 11:15:00
1776339000000,9.424,9.447,9.417,9.431,6467.486,2026-04-16 11:30:00
1776339900000,9.43,9.469,9.429,9.468,2418.4345,2026-04-16 11:45:00
1776340800000,9.468,9.56,9.468,9.552,10743.0363,2026-04-16 12:00:00
1776341700000,9.553,9.553,9.509,9.511,8443.8849,2026-04-16 12:15:00
1776342600000,9.515,9.527,9.488,9.527,3124.1134,2026-04-16 12:30:00
1776343500000,9.523,9.523,9.495,9.505,2218.6785,2026-04-16 12:45:00
1776344400000,9.51,9.593,9.504,9.592,10181.4108,2026-04-16 13:00:00
1776345300000,9.59,9.615,9.572,9.58,9460.2301,2026-04-16 13:15:00
1776346200000,9.586,9.586,9.537,9.569,9955.6483,2026-04-16 13:30:00
1776347100000,9.568,9.568,9.309,9.414,38107.357,2026-04-16 13:45:00
1776348000000,9.408,9.421,9.355,9.358,41716.5651,2026-04-16 14:00:00
1776348900000,9.353,9.365,9.266,9.309,24372.2186,2026-04-16 14:15:00
1776349800000,9.305,9.362,9.302,9.353,14338.7814,2026-04-16 14:30:00
1776350700000,9.354,9.412,9.354,9.399,13374.8155,2026-04-16 14:45:00
1776351600000,9.4,9.514,9.391,9.476,19092.9057,2026-04-16 15:00:00
1776352500000,9.491,9.531,9.47,9.47,16466.5753,2026-04-16 15:15:00
1776353400000,9.468,9.601,9.468,9.572,34413.9619,2026-04-16 15:30:00
1776354300000,9.571,9.604,9.56,9.584,26768.2044,2026-04-16 15:45:00
1776355200000,9.585,9.648,9.582,9.592,22299.8704,2026-04-16 16:00:00
1776356100000,9.593,9.624,9.522,9.526,23678.4178,2026-04-16 16:15:00
1776357000000,9.524,9.549,9.462,9.488,21693.5221,2026-04-16 16:30:00
1776357900000,9.488,9.498,9.418,9.46,24103.9203,2026-04-16 16:45:00
1776358800000,9.461,9.475,9.423,9.423,27697.736,2026-04-16 17:00:00
1776359700000,9.422,9.511,9.409,9.509,27801.7347,2026-04-16 17:15:00
1776360600000,9.503,9.541,9.48,9.536,28955.3383,2026-04-16 17:30:00
1776361500000,9.536,9.551,9.497,9.528,31675.5725,2026-04-16 17:45:00
1776362400000,9.529,9.554,9.493,9.517,22329.4325,2026-04-16 18:00:00
1776363300000,9.519,9.59,9.519,9.59,26890.8998,2026-04-16 18:15:00
1776364200000,9.592,9.674,9.57,9.662,23029.5312,2026-04-16 18:30:00
1776365100000,9.663,9.847,9.663,9.774,32214.6887,2026-04-16 18:45:00
1776366000000,9.781,9.8,9.751,9.764,14990.1029,2026-04-16 19:00:00
1776366900000,9.765,9.784,9.745,9.781,12804.8418,2026-04-16 19:15:00
1776367800000,9.774,9.857,9.766,9.84,15367.6621,2026-04-16 19:30:00
1776368700000,9.837,9.865,9.821,9.852,27844.4724,2026-04-16 19:45:00
1776369600000,9.85,9.883,9.794,9.81,34813.8339,2026-04-16 20:00:00
1776370500000,9.807,9.815,9.703,9.738,23561.3533,2026-04-16 20:15:00
1776371400000,9.727,9.727,9.661,9.673,24099.3033,2026-04-16 20:30:00
1776372300000,9.673,9.699,9.66,9.693,4694.4341,2026-04-16 20:45:00
1776373200000,9.696,9.729,9.695,9.715,11660.5695,2026-04-16 21:00:00
1776374100000,9.713,9.729,9.649,9.684,40453.4771,2026-04-16 21:15:00
1776375000000,9.679,9.714,9.669,9.702,59117.6418,2026-04-16 21:30:00
1776375900000,9.702,9.727,9.693,9.723,54620.3967,2026-04-16 21:45:00
1776376800000,9.727,9.764,9.722,9.724,42066.9958,2026-04-16 22:00:00
1776377700000,9.726,9.738,9.683,9.726,6296.9466,2026-04-16 22:15:00
1776378600000,9.731,9.737,9.71,9.719,2772.975,2026-04-16 22:30:00
1776379500000,9.717,9.751,9.711,9.714,6970.8519,2026-04-16 22:45:00
1776380400000,9.708,9.715,9.695,9.701,2390.7857,2026-04-16 23:00:00
1776381300000,9.698,9.741,9.688,9.722,5917.1679,2026-04-16 23:15:00
1776382200000,9.717,9.779,9.717,9.745,7279.1715,2026-04-16 23:30:00
1776383100000,9.744,9.744,9.719,9.726,7986.0919,2026-04-16 23:45:00
1776384000000,9.724,9.746,9.689,9.692,13480.8477,2026-04-17 00:00:00
1776384900000,9.691,9.714,9.669,9.673,7311.4445,2026-04-17 00:15:00
1776385800000,9.677,9.699,9.675,9.681,12240.0715,2026-04-17 00:30:00
1776386700000,9.676,9.696,9.673,9.696,9834.9136,2026-04-17 00:45:00
1776387600000,9.69,9.712,9.687,9.695,9987.0555,2026-04-17 01:00:00
1776388500000,9.69,9.709,9.628,9.64,22230.7613,2026-04-17 01:15:00
1776389400000,9.645,9.679,9.609,9.633,10962.5941,2026-04-17 01:30:00
1776390300000,9.634,9.653,9.598,9.632,18409.7671,2026-04-17 01:45:00
1776391200000,9.628,9.647,9.605,9.622,19881.3528,2026-04-17 02:00:00
1776392100000,9.62,9.62,9.558,9.561,12919.899,2026-04-17 02:15:00
1776393000000,9.559,9.615,9.553,9.605,18304.8335,2026-04-17 02:30:00
1776393900000,9.605,9.617,9.576,9.587,15325.7564,2026-04-17 02:45:00
1776394800000,9.587,9.587,9.554,9.579,16033.7438,2026-04-17 03:00:00
1776395700000,9.579,9.588,9.561,9.561,11842.3173,2026-04-17 03:15:00
1776396600000,9.565,9.585,9.544,9.577,13109.8714,2026-04-17 03:30:00
1776397500000,9.573,9.586,9.555,9.557,25742.76046358,2026-04-17 03:45:00
1776398400000,9.559,9.566,9.543,9.553,32378.4228,2026-04-17 04:00:00
1776399300000,9.554,9.584,9.554,9.56,27263.9473,2026-04-17 04:15:00
1776400200000,9.561,9.581,9.549,9.556,34000.0835,2026-04-17 04:30:00
1776401100000,9.552,9.567,9.536,9.55,30125.0811,2026-04-17 04:45:00
1776402000000,9.551,9.552,9.459,9.467,20973.7366,2026-04-17 05:00:00
1776402900000,9.467,9.481,9.461,9.463,6036.9197,2026-04-17 05:15:00
1776403800000,9.462,9.482,9.449,9.459,7327.3855,2026-04-17 05:30:00
1776404700000,9.461,9.478,9.452,9.457,10795.2235,2026-04-17 05:45:00
1776405600000,9.451,9.475,9.45,9.467,8047.5068,2026-04-17 06:00:00
1776406500000,9.462,9.487,9.462,9.483,9094.7513,2026-04-17 06:15:00
1776407400000,9.485,9.534,9.48,9.534,4689.3678,2026-04-17 06:30:00
1776408300000,9.534,9.579,9.532,9.557,4988.2742,2026-04-17 06:45:00
1776409200000,9.571,9.602,9.564,9.598,5917.5684,2026-04-17 07:00:00
1776410100000,9.599,9.613,9.58,9.612,5665.3297,2026-04-17 07:15:00
1776411000000,9.611,9.619,9.592,9.6,15917.9245,2026-04-17 07:30:00
1776411900000,9.602,9.627,9.591,9.627,9083.72,2026-04-17 07:45:00
1776412800000,9.627,9.653,9.611,9.641,15913.2233,2026-04-17 08:00:00
1776413700000,9.643,9.648,9.622,9.637,13707.5567,2026-04-17 08:15:00
1776414600000,9.638,9.685,9.638,9.663,29014.4881,2026-04-17 08:30:00
1776415500000,9.664,9.702,9.648,9.669,20371.7454,2026-04-17 08:45:00
1776416400000,9.673,9.673,9.611,9.638,9595.149,2026-04-17 09:00:00
1776417300000,9.638,9.722,9.61,9.714,44882.8688,2026-04-17 09:15:00
1776418200000,9.718,9.718,9.609,9.641,14154.5926,2026-04-17 09:30:00
1776419100000,9.644,9.682,9.639,9.682,2251.5292,2026-04-17 09:45:00
1776420000000,9.678,9.7,9.621,9.639,13324.6053,2026-04-17 10:00:00
