datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,554.55,555.91,552.97,554.3,96.0087
2025-10-26 20:00:00+00:00,554.31,554.31,551.81,553.72,19.4198
2025-10-26 21:00:00+00:00,553.83,554.03,548.89,551.95,43.8891
2025-10-26 22:00:00+00:00,552.64,560.08,552.64,558.53,113.5966
2025-10-26 23:00:00+00:00,558.58,559.19,556.23,559.02,163.0628
2025-10-27 00:00:00+00:00,559.27,565.1,557.39,558.02,180.3106
2025-10-27 01:00:00+00:00,557.48,563.75,557.25,563.14,124.733
2025-10-27 02:00:00+00:00,562.51,563.4,560.32,561.16,59.1364
2025-10-27 03:00:00+00:00,560.82,561.59,555.0,559.89,47.3132
2025-10-27 04:00:00+00:00,559.6,560.87,557.62,558.85,45.8037
2025-10-27 05:00:00+00:00,558.69,560.27,556.28,556.93,35.6822
2025-10-27 06:00:00+00:00,557.01,564.46,555.5,560.87,295.1495
2025-10-27 07:00:00+00:00,560.75,561.66,557.62,560.24,197.4768
2025-10-27 08:00:00+00:00,560.21,561.97,558.0,560.75,144.8817
2025-10-27 09:00:00+00:00,561.16,561.18,556.12,556.35,47.82065296
2025-10-27 10:00:00+00:00,556.66,560.69,556.63,559.92,41.9228
2025-10-27 11:00:00+00:00,559.32,563.79,558.21,562.01,104.026
2025-10-27 12:00:00+00:00,561.24,566.67,561.24,561.97,59.3793
2025-10-27 13:00:00+00:00,562.41,572.17,559.82,568.68,66.4364
2025-10-27 14:00:00+00:00,569.25,569.47,561.26,561.26,47.6317
2025-10-27 15:00:00+00:00,561.48,567.53,561.48,563.4,51.4315
2025-10-27 16:00:00+00:00,563.54,565.4,557.61,561.87,120.7881
2025-10-27 17:00:00+00:00,561.27,561.67,559.81,559.99,6.192
2025-10-27 18:00:00+00:00,560.29,561.51,556.76,558.77,73.2569
2025-10-27 19:00:00+00:00,558.31,559.77,556.17,557.88,37.2883
2025-10-27 20:00:00+00:00,557.15,561.52,553.21,556.34,408.3873
2025-10-27 21:00:00+00:00,556.48,558.77,555.83,557.39,59.1681
2025-10-27 22:00:00+00:00,556.68,558.58,554.64,555.0,41.3355
2025-10-27 23:00:00+00:00,554.56,557.21,553.06,555.69,16.1493
2025-10-28 00:00:00+00:00,555.4,557.74,554.81,555.35,58.4263
2025-10-28 01:00:00+00:00,555.8,557.22,554.87,556.45,55.5467
2025-10-28 02:00:00+00:00,556.18,560.32,553.03,557.4,67.0593
2025-10-28 03:00:00+00:00,556.63,560.21,555.39,560.07,185.8331
2025-10-28 04:00:00+00:00,559.45,567.15,559.44,562.19,406.3485
2025-10-28 05:00:00+00:00,561.93,562.49,550.14,556.24,57.9372
2025-10-28 06:00:00+00:00,555.68,563.34,555.5,558.63,62.8862
2025-10-28 07:00:00+00:00,558.02,560.58,554.78,555.14,71.7389
2025-10-28 08:00:00+00:00,554.58,562.28,552.62,555.64,78.0816
