datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,0.3203,0.3203,0.3203,0.3203,40.98
2025-10-26 20:00:00+00:00,0.3197,0.3197,0.3179,0.3184,446.32
2025-10-26 21:00:00+00:00,0.3185,0.3185,0.3185,0.3185,10.85
2025-10-26 22:00:00+00:00,0.3185,0.3185,0.3185,0.3185,0.0
2025-10-26 23:00:00+00:00,0.3234,0.3245,0.3234,0.3243,201.28
2025-10-27 00:00:00+00:00,0.3229,0.3229,0.3229,0.3229,58.26
2025-10-27 01:00:00+00:00,0.3251,0.326,0.325,0.326,109.99
2025-10-27 02:00:00+00:00,0.3266,0.327,0.3266,0.327,589.68
2025-10-27 03:00:00+00:00,0.3223,0.3223,0.3221,0.3221,331.34
2025-10-27 04:00:00+00:00,0.324,0.324,0.324,0.324,11.54
2025-10-27 05:00:00+00:00,0.3247,0.325,0.3241,0.325,664.68
2025-10-27 06:00:00+00:00,0.3244,0.3245,0.3244,0.3245,793.28
2025-10-27 07:00:00+00:00,0.3231,0.3231,0.3209,0.3227,871.06
2025-10-27 08:00:00+00:00,0.3227,0.3227,0.3227,0.3227,0.0
2025-10-27 09:00:00+00:00,0.3185,0.3185,0.317,0.3183,513.77
2025-10-27 10:00:00+00:00,0.3193,0.3193,0.317,0.317,623.01
2025-10-27 11:00:00+00:00,0.3167,0.3167,0.3158,0.3158,991.99
2025-10-27 12:00:00+00:00,0.3148,0.3148,0.3148,0.3148,81.26
2025-10-27 13:00:00+00:00,0.3149,0.3149,0.3149,0.3149,3.17
2025-10-27 14:00:00+00:00,0.3127,0.3142,0.312,0.3142,102.55
2025-10-27 15:00:00+00:00,0.3159,0.3176,0.3149,0.3149,1341.33
2025-10-27 16:00:00+00:00,0.3171,0.319,0.3149,0.3149,5317.79
2025-10-27 17:00:00+00:00,0.3174,0.318,0.3174,0.318,159.23
2025-10-27 18:00:00+00:00,0.3195,0.3195,0.3182,0.3182,24.92
2025-10-27 19:00:00+00:00,0.3189,0.3189,0.3165,0.3165,179.42
2025-10-27 20:00:00+00:00,0.3165,0.3165,0.3165,0.3165,0.0
2025-10-27 21:00:00+00:00,0.3113,0.3113,0.311,0.311,321.2
2025-10-27 22:00:00+00:00,0.311,0.311,0.311,0.311,0.0
2025-10-27 23:00:00+00:00,0.311,0.311,0.311,0.311,0.0
2025-10-28 00:00:00+00:00,0.312,0.312,0.3068,0.3069,213.42
2025-10-28 01:00:00+00:00,0.3069,0.3069,0.3069,0.3069,0.0
2025-10-28 02:00:00+00:00,0.3098,0.3101,0.3077,0.3077,400.14
2025-10-28 03:00:00+00:00,0.3069,0.3069,0.3069,0.3069,16.57
2025-10-28 04:00:00+00:00,0.3063,0.3063,0.3035,0.3035,7.05
2025-10-28 05:00:00+00:00,0.3072,0.3072,0.3064,0.3064,22.67
2025-10-28 06:00:00+00:00,0.3075,0.3075,0.3075,0.3075,1.22
2025-10-28 07:00:00+00:00,0.3053,0.3053,0.3053,0.3053,1.16
2025-10-28 08:00:00+00:00,0.3053,0.3105,0.3052,0.3052,2870.05
2025-10-28 09:00:00+00:00,0.3054,0.3066,0.3044,0.3066,5006.3
2025-10-28 10:00:00+00:00,0.3066,0.3066,0.3066,0.3066,0.0
2025-10-28 11:00:00+00:00,0.3069,0.3069,0.3069,0.3069,22.62
2025-10-28 12:00:00+00:00,0.3069,0.3069,0.3069,0.3069,0.0
2025-10-28 13:00:00+00:00,0.3069,0.3069,0.3069,0.3069,0.0
2025-10-28 14:00:00+00:00,0.3003,0.3056,0.298,0.3028,591.03
2025-10-28 15:00:00+00:00,0.3019,0.3019,0.3019,0.3019,7.68
2025-10-28 16:00:00+00:00,0.3085,0.3085,0.3065,0.3065,165.92
2025-10-28 17:00:00+00:00,0.3065,0.3065,0.3065,0.3065,0.0
2025-10-28 18:00:00+00:00,0.3063,0.3076,0.3047,0.3074,514.3
2025-10-28 19:00:00+00:00,0.3067,0.3067,0.2961,0.2961,2267.17
2025-10-28 20:00:00+00:00,0.2967,0.2967,0.2928,0.2947,373.97
2025-10-28 21:00:00+00:00,0.2897,0.2961,0.2896,0.2961,12625.4
2025-10-28 22:00:00+00:00,0.2925,0.2938,0.2925,0.2938,63.42
2025-10-28 23:00:00+00:00,0.2961,0.2976,0.2961,0.2976,765.0
2025-10-29 00:00:00+00:00,0.2978,0.2978,0.2977,0.2977,207.0
2025-10-29 01:00:00+00:00,0.2977,0.2977,0.2977,0.2977,0.0
2025-10-29 02:00:00+00:00,0.2981,0.2987,0.2981,0.2987,387.53
2025-10-29 03:00:00+00:00,0.2968,0.298,0.2968,0.298,948.0
2025-10-29 04:00:00+00:00,0.302,0.302,0.302,0.302,406.35
2025-10-29 05:00:00+00:00,0.302,0.302,0.302,0.302,0.0
2025-10-29 06:00:00+00:00,0.3047,0.3049,0.3024,0.3026,1443.39
2025-10-29 07:00:00+00:00,0.3022,0.3022,0.3013,0.3013,42.86
2025-10-29 08:00:00+00:00,0.3013,0.3013,0.3013,0.3013,0.0
2025-10-29 09:00:00+00:00,0.3013,0.3013,0.3013,0.3013,0.0
2025-10-29 10:00:00+00:00,0.3022,0.303,0.3002,0.3029,2423.24
2025-10-29 11:00:00+00:00,0.3037,0.3037,0.3029,0.3029,1470.0
2025-10-29 12:00:00+00:00,0.3029,0.3029,0.3029,0.3029,0.0
2025-10-29 13:00:00+00:00,0.3054,0.3106,0.3054,0.3063,2474.09
2025-10-29 14:00:00+00:00,0.305,0.305,0.3037,0.3037,101.3
2025-10-29 15:00:00+00:00,0.3027,0.3027,0.301,0.301,886.42
2025-10-29 16:00:00+00:00,0.3019,0.3061,0.301,0.301,1583.69
2025-10-29 17:00:00+00:00,0.2999,0.3055,0.2993,0.3054,1193.17
2025-10-29 18:00:00+00:00,0.3066,0.3066,0.299,0.299,934.79
2025-10-29 19:00:00+00:00,0.3047,0.3089,0.3047,0.3054,1117.11
2025-10-29 20:00:00+00:00,0.3079,0.3107,0.3066,0.3107,3136.35
2025-10-29 21:00:00+00:00,0.3095,0.3096,0.3094,0.3096,157.75
2025-10-29 22:00:00+00:00,0.3098,0.3107,0.3098,0.3107,562.08
2025-10-29 23:00:00+00:00,0.3085,0.3085,0.3085,0.3085,512.23
2025-10-30 00:00:00+00:00,0.3061,0.3061,0.3061,0.3061,10.19
2025-10-30 01:00:00+00:00,0.3061,0.3061,0.3061,0.3061,0.0
2025-10-30 02:00:00+00:00,0.3054,0.3054,0.3054,0.3054,35.66
2025-10-30 03:00:00+00:00,0.3076,0.3076,0.3048,0.3048,415.33
2025-10-30 04:00:00+00:00,0.3048,0.3048,0.3048,0.3048,0.0
2025-10-30 05:00:00+00:00,0.2965,0.2965,0.2965,0.2965,7.59
2025-10-30 06:00:00+00:00,0.3035,0.3044,0.3023,0.3023,1291.98
2025-10-30 07:00:00+00:00,0.3023,0.3023,0.3023,0.3023,0.0
2025-10-30 08:00:00+00:00,0.3023,0.3023,0.3023,0.3023,0.0
2025-10-30 09:00:00+00:00,0.2999,0.2999,0.2968,0.2968,2534.84
