datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,2.2661,2.3027,2.2452,2.2738,3698.88
2025-10-26 20:00:00+00:00,2.2745,2.3364,2.1698,2.3064,22852.52
2025-10-26 21:00:00+00:00,2.3141,2.3213,2.25,2.25,3201.63
2025-10-26 22:00:00+00:00,2.2479,2.3416,2.2416,2.2647,5474.36
2025-10-26 23:00:00+00:00,2.275,2.2799,2.225,2.2604,5415.27
2025-10-27 00:00:00+00:00,2.2602,2.2621,2.2079,2.2256,4804.96
2025-10-27 01:00:00+00:00,2.2247,2.232,2.1872,2.1989,6389.78
2025-10-27 02:00:00+00:00,2.2035,2.3,2.2035,2.2405,12029.99
2025-10-27 03:00:00+00:00,2.2531,2.3038,2.2206,2.2735,4583.17
2025-10-27 04:00:00+00:00,2.2738,2.2853,2.191,2.2115,9296.74
2025-10-27 05:00:00+00:00,2.2099,2.2099,2.0885,2.1845,30444.38
2025-10-27 06:00:00+00:00,2.1746,2.2647,2.1007,2.2197,19374.29
2025-10-27 07:00:00+00:00,2.2022,2.2197,2.1211,2.1425,6879.36
2025-10-27 08:00:00+00:00,2.1431,2.184,2.1314,2.1728,9152.2
2025-10-27 09:00:00+00:00,2.1771,2.2601,2.1674,2.1674,8691.93
2025-10-27 10:00:00+00:00,2.176,2.1971,2.1495,2.1495,8811.82
2025-10-27 11:00:00+00:00,2.1537,2.1596,2.1237,2.1237,4389.16
2025-10-27 12:00:00+00:00,2.1248,2.1939,2.1099,2.1724,15475.24
2025-10-27 13:00:00+00:00,2.1638,2.2074,2.1384,2.1844,4224.69
2025-10-27 14:00:00+00:00,2.1861,2.1861,2.0652,2.0744,9572.54
2025-10-27 15:00:00+00:00,2.065,2.0704,1.803,1.9122,56822.59
2025-10-27 16:00:00+00:00,1.9134,2.05,1.9069,2.0056,39271.9
2025-10-27 17:00:00+00:00,2.0026,2.0194,1.9737,1.9939,10420.94
2025-10-27 18:00:00+00:00,1.9963,2.0071,1.9338,1.9453,5181.07
2025-10-27 19:00:00+00:00,1.9484,2.0545,1.9484,2.0016,10938.51
2025-10-27 20:00:00+00:00,1.9818,2.0097,1.9761,2.0097,2231.72
2025-10-27 21:00:00+00:00,2.0184,2.0337,2.0048,2.0093,905.44
2025-10-27 22:00:00+00:00,2.0129,2.0347,2.0092,2.0216,1278.64
2025-10-27 23:00:00+00:00,2.0091,2.0347,2.0086,2.0231,798.56
2025-10-28 00:00:00+00:00,2.0309,2.0479,1.9918,1.9918,1376.59
2025-10-28 01:00:00+00:00,1.9918,2.0129,1.9716,1.9954,3266.52
2025-10-28 02:00:00+00:00,2.001,2.0077,1.977,1.9919,987.89
2025-10-28 03:00:00+00:00,2.0018,2.0069,1.9939,2.0022,823.86
2025-10-28 04:00:00+00:00,1.9985,2.0906,1.998,2.0606,12151.58
2025-10-28 05:00:00+00:00,2.058,2.0905,2.05,2.0905,777.37
2025-10-28 06:00:00+00:00,2.0873,2.1272,2.0721,2.1012,3998.37
2025-10-28 07:00:00+00:00,2.0924,2.142,2.0749,2.12,7329.73
2025-10-28 08:00:00+00:00,2.1102,2.1339,2.0844,2.0938,3404.28
2025-10-28 09:00:00+00:00,2.111,2.1132,2.0834,2.0931,8797.83
2025-10-28 10:00:00+00:00,2.087,2.1377,2.0853,2.1377,5539.67
2025-10-28 11:00:00+00:00,2.1186,2.1186,1.9329,2.0172,38176.49
2025-10-28 12:00:00+00:00,2.0179,2.0443,1.9849,2.0366,3036.48
2025-10-28 13:00:00+00:00,2.0355,2.0836,2.0202,2.056,11268.85
2025-10-28 14:00:00+00:00,2.0519,2.0869,2.0372,2.0797,4166.62
2025-10-28 15:00:00+00:00,2.0765,2.0795,2.0329,2.0482,5089.34
2025-10-28 16:00:00+00:00,2.0446,2.0928,2.0415,2.0767,1422.9
2025-10-28 17:00:00+00:00,2.066,2.07,2.0481,2.0565,1318.65
2025-10-28 18:00:00+00:00,2.058,2.0602,2.039,2.0547,682.71
2025-10-28 19:00:00+00:00,2.0579,2.0762,2.0474,2.0732,1955.06
2025-10-28 20:00:00+00:00,2.0654,2.0654,2.0387,2.0439,1721.81
2025-10-28 21:00:00+00:00,2.0593,2.0594,2.025,2.0435,5048.91
2025-10-28 22:00:00+00:00,2.0455,2.0902,2.0299,2.0902,7060.84
2025-10-28 23:00:00+00:00,2.0946,2.1362,2.0904,2.1279,3863.46
2025-10-29 00:00:00+00:00,2.125,2.1281,2.0733,2.0991,3052.12
