datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,5.415,5.418,5.414,5.417,172.05
2025-10-26 20:00:00+00:00,5.415,5.415,5.37,5.39,870.86
2025-10-26 21:00:00+00:00,5.387,5.409,5.368,5.409,153.04
2025-10-26 22:00:00+00:00,5.425,5.538,5.425,5.506,2807.85
2025-10-26 23:00:00+00:00,5.509,5.509,5.496,5.506,618.09
2025-10-27 00:00:00+00:00,5.501,5.511,5.496,5.504,221.62
2025-10-27 01:00:00+00:00,5.51,5.57,5.51,5.568,627.04
2025-10-27 02:00:00+00:00,5.56,5.569,5.521,5.55,625.59
2025-10-27 03:00:00+00:00,5.534,5.541,5.51,5.51,1038.47
2025-10-27 04:00:00+00:00,5.517,5.532,5.506,5.532,133.16
2025-10-27 05:00:00+00:00,5.546,5.6,5.546,5.562,660.36
2025-10-27 06:00:00+00:00,5.522,5.561,5.517,5.561,46.37
2025-10-27 07:00:00+00:00,5.54,5.54,5.5,5.521,19.72
2025-10-27 08:00:00+00:00,5.524,5.524,5.441,5.456,1795.36
2025-10-27 09:00:00+00:00,5.44,5.44,5.39,5.39,117.77
2025-10-27 10:00:00+00:00,5.385,5.408,5.385,5.392,173.3
2025-10-27 11:00:00+00:00,5.405,5.405,5.36,5.398,148.05
2025-10-27 12:00:00+00:00,5.406,5.407,5.36,5.36,267.3
2025-10-27 13:00:00+00:00,5.362,5.371,5.3,5.369,420.73
2025-10-27 14:00:00+00:00,5.363,5.363,5.325,5.336,126.63
2025-10-27 15:00:00+00:00,5.359,5.388,5.359,5.373,465.21
2025-10-27 16:00:00+00:00,5.394,5.44,5.394,5.44,66.55
2025-10-27 17:00:00+00:00,5.457,5.457,5.455,5.455,156.43
2025-10-27 18:00:00+00:00,5.472,5.491,5.456,5.49,288.17
2025-10-27 19:00:00+00:00,5.439,5.439,5.392,5.392,365.76
2025-10-27 20:00:00+00:00,5.38,5.38,5.342,5.356,1148.36
2025-10-27 21:00:00+00:00,5.365,5.37,5.339,5.37,122.16
2025-10-27 22:00:00+00:00,5.379,5.379,5.32,5.33,11.44
2025-10-27 23:00:00+00:00,5.319,5.319,5.262,5.307,1972.39
2025-10-28 00:00:00+00:00,5.309,5.343,5.29,5.293,708.68
2025-10-28 01:00:00+00:00,5.335,5.343,5.326,5.337,596.27
2025-10-28 02:00:00+00:00,5.307,5.311,5.253,5.297,827.01
2025-10-28 03:00:00+00:00,5.287,5.301,5.249,5.255,148.25
2025-10-28 04:00:00+00:00,5.265,5.297,5.25,5.297,335.06
2025-10-28 05:00:00+00:00,5.303,5.303,5.228,5.23,497.89
2025-10-28 06:00:00+00:00,5.233,5.326,5.223,5.326,349.26
2025-10-28 07:00:00+00:00,5.353,5.357,5.292,5.295,179.67
2025-10-28 08:00:00+00:00,5.281,5.314,5.281,5.314,8.97
2025-10-28 09:00:00+00:00,5.307,5.33,5.299,5.318,488.86
2025-10-28 10:00:00+00:00,5.309,5.309,5.258,5.276,669.28
2025-10-28 11:00:00+00:00,5.301,5.301,5.264,5.264,873.61
2025-10-28 12:00:00+00:00,5.255,5.329,5.255,5.325,564.55
2025-10-28 13:00:00+00:00,5.328,5.359,5.328,5.334,971.86
2025-10-28 14:00:00+00:00,5.341,5.38,5.176,5.26,3058.1
2025-10-28 15:00:00+00:00,5.305,5.32,5.249,5.279,706.25
2025-10-28 16:00:00+00:00,5.274,5.313,5.274,5.31,539.84
2025-10-28 17:00:00+00:00,5.304,5.307,5.302,5.307,21.99
2025-10-28 18:00:00+00:00,5.3,5.307,5.258,5.258,549.81
2025-10-28 19:00:00+00:00,5.264,5.282,5.173,5.178,356.73
2025-10-28 20:00:00+00:00,5.14,5.166,5.017,5.074,7250.84
