datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,2.539,2.539,2.525,2.53,989.81
2025-10-26 20:00:00+00:00,2.53,2.531,2.513,2.519,1784.65
2025-10-26 21:00:00+00:00,2.521,2.539,2.514,2.539,5360.68
2025-10-26 22:00:00+00:00,2.54,2.587,2.54,2.577,23493.71
2025-10-26 23:00:00+00:00,2.581,2.594,2.577,2.577,5352.59
2025-10-27 00:00:00+00:00,2.577,2.595,2.574,2.59,3674.79
2025-10-27 01:00:00+00:00,2.594,2.623,2.586,2.623,3423.14
2025-10-27 02:00:00+00:00,2.619,2.624,2.598,2.605,5253.45
2025-10-27 03:00:00+00:00,2.604,2.61,2.585,2.588,1229.52
2025-10-27 04:00:00+00:00,2.585,2.596,2.582,2.595,3983.81
2025-10-27 05:00:00+00:00,2.596,2.621,2.593,2.597,7457.77
2025-10-27 06:00:00+00:00,2.598,2.598,2.572,2.59,2821.15
2025-10-27 07:00:00+00:00,2.586,2.593,2.554,2.572,4058.21
2025-10-27 08:00:00+00:00,2.572,2.58,2.541,2.543,5649.4
2025-10-27 09:00:00+00:00,2.546,2.546,2.504,2.513,6581.4
2025-10-27 10:00:00+00:00,2.512,2.527,2.504,2.518,2044.98
2025-10-27 11:00:00+00:00,2.521,2.532,2.506,2.525,4928.83
2025-10-27 12:00:00+00:00,2.522,2.522,2.498,2.504,889.95
2025-10-27 13:00:00+00:00,2.502,2.52,2.475,2.503,3484.7
2025-10-27 14:00:00+00:00,2.509,2.509,2.479,2.496,3514.82
2025-10-27 15:00:00+00:00,2.498,2.521,2.498,2.515,3108.44
2025-10-27 16:00:00+00:00,2.517,2.571,2.517,2.567,2430.92
2025-10-27 17:00:00+00:00,2.568,2.582,2.562,2.573,1231.1
2025-10-27 18:00:00+00:00,2.565,2.579,2.549,2.553,3382.17
2025-10-27 19:00:00+00:00,2.552,2.552,2.526,2.526,8078.78
2025-10-27 20:00:00+00:00,2.525,2.525,2.509,2.512,6670.21
2025-10-27 21:00:00+00:00,2.51,2.529,2.508,2.514,2992.9
2025-10-27 22:00:00+00:00,2.509,2.524,2.494,2.497,2913.98
2025-10-27 23:00:00+00:00,2.496,2.503,2.479,2.498,2062.68
2025-10-28 00:00:00+00:00,2.498,2.511,2.488,2.497,2870.86
2025-10-28 01:00:00+00:00,2.498,2.515,2.498,2.505,3296.73
2025-10-28 02:00:00+00:00,2.504,2.507,2.466,2.485,8743.61
2025-10-28 03:00:00+00:00,2.484,2.499,2.469,2.479,6223.63
2025-10-28 04:00:00+00:00,2.478,2.498,2.478,2.496,2052.44
2025-10-28 05:00:00+00:00,2.495,2.5,2.457,2.471,7982.62
2025-10-28 06:00:00+00:00,2.465,2.528,2.465,2.528,7778.08
2025-10-28 07:00:00+00:00,2.529,2.536,2.492,2.492,2302.4
2025-10-28 08:00:00+00:00,2.49,2.517,2.488,2.514,1274.52
2025-10-28 09:00:00+00:00,2.513,2.523,2.495,2.52,2194.81
2025-10-28 10:00:00+00:00,2.518,2.518,2.499,2.511,2455.97
2025-10-28 11:00:00+00:00,2.513,2.531,2.5,2.504,7464.3
2025-10-28 12:00:00+00:00,2.503,2.533,2.498,2.526,4851.18
2025-10-28 13:00:00+00:00,2.528,2.563,2.528,2.556,11718.34
2025-10-28 14:00:00+00:00,2.554,2.572,2.477,2.533,12743.68
2025-10-28 15:00:00+00:00,2.537,2.552,2.507,2.519,5766.65
2025-10-28 16:00:00+00:00,2.529,2.545,2.511,2.536,4485.39
2025-10-28 17:00:00+00:00,2.539,2.545,2.526,2.531,4292.26
