timestamp,open,high,low,close,volume,datetime
1776293100000,85.16,85.3,85.0,85.01,2845.191,2026-04-15 22:45:00
1776294000000,85.03,85.03,84.73,84.78,1966.884,2026-04-15 23:00:00
1776294900000,84.78,84.84,84.63,84.83,2850.208,2026-04-15 23:15:00
1776295800000,84.87,84.93,84.77,84.82,3431.279,2026-04-15 23:30:00
1776296700000,84.84,85.01,84.82,84.89,1277.551,2026-04-15 23:45:00
1776297600000,84.89,84.96,84.64,84.69,2140.205,2026-04-16 00:00:00
1776298500000,84.68,84.75,84.5,84.68,1918.887,2026-04-16 00:15:00
1776299400000,84.74,85.0,84.74,84.96,2735.998,2026-04-16 00:30:00
1776300300000,84.94,85.06,84.84,84.92,1315.649,2026-04-16 00:45:00
1776301200000,84.92,84.92,84.46,84.73,2034.593,2026-04-16 01:00:00
1776302100000,84.72,84.87,84.67,84.74,876.645,2026-04-16 01:15:00
1776303000000,84.73,84.89,84.7,84.86,801.868,2026-04-16 01:30:00
1776303900000,84.85,84.93,84.67,84.85,542.961,2026-04-16 01:45:00
1776304800000,84.84,85.02,84.84,84.87,1919.746,2026-04-16 02:00:00
1776305700000,84.83,85.16,84.72,85.16,1969.277,2026-04-16 02:15:00
1776306600000,85.17,85.57,85.17,85.49,6004.581,2026-04-16 02:30:00
1776307500000,85.54,85.54,85.02,85.17,3714.319,2026-04-16 02:45:00
1776308400000,85.1,85.39,85.08,85.21,2094.66,2026-04-16 03:00:00
1776309300000,85.22,85.5,85.22,85.31,1184.23,2026-04-16 03:15:00
1776310200000,85.3,85.37,85.18,85.3,1765.075,2026-04-16 03:30:00
1776311100000,85.34,85.39,85.24,85.29,2794.867,2026-04-16 03:45:00
1776312000000,85.28,85.42,85.13,85.31,1825.691,2026-04-16 04:00:00
1776312900000,85.3,85.39,85.26,85.33,1234.57,2026-04-16 04:15:00
1776313800000,85.35,85.55,85.27,85.45,2715.787,2026-04-16 04:30:00
1776314700000,85.41,85.43,84.98,85.24,5202.554,2026-04-16 04:45:00
1776315600000,85.23,85.28,85.06,85.17,2468.927,2026-04-16 05:00:00
1776316500000,85.14,85.44,85.12,85.37,1046.393,2026-04-16 05:15:00
1776317400000,85.39,85.53,85.32,85.36,1821.717,2026-04-16 05:30:00
1776318300000,85.39,85.44,85.35,85.39,1271.166,2026-04-16 05:45:00
1776319200000,85.4,85.54,85.4,85.43,1714.586,2026-04-16 06:00:00
1776320100000,85.4,85.5,85.33,85.38,1271.153,2026-04-16 06:15:00
1776321000000,85.37,85.42,85.19,85.31,2934.525,2026-04-16 06:30:00
1776321900000,85.32,85.47,85.29,85.47,912.319,2026-04-16 06:45:00
1776322800000,85.48,85.65,85.44,85.53,2561.356,2026-04-16 07:00:00
1776323700000,85.53,85.6,85.43,85.48,1567.436,2026-04-16 07:15:00
