datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,2.6373,2.6379,2.6282,2.6316,114763.6
2025-10-26 20:00:00+00:00,2.6317,2.6317,2.6117,2.6166,132427.0
2025-10-26 21:00:00+00:00,2.617,2.631,2.6062,2.6306,174370.0
2025-10-26 22:00:00+00:00,2.6309,2.6815,2.6309,2.6712,406401.8
2025-10-26 23:00:00+00:00,2.6715,2.6831,2.6657,2.6767,193957.8
2025-10-27 00:00:00+00:00,2.6768,2.7022,2.6618,2.6917,397782.4
2025-10-27 01:00:00+00:00,2.6918,2.7044,2.6739,2.7011,239683.8
2025-10-27 02:00:00+00:00,2.7016,2.7051,2.6813,2.6821,180114.2
2025-10-27 03:00:00+00:00,2.6823,2.6875,2.6623,2.6701,145267.7
2025-10-27 04:00:00+00:00,2.6694,2.7147,2.6595,2.713,309595.1
2025-10-27 05:00:00+00:00,2.7135,2.7196,2.6884,2.6887,234923.7
2025-10-27 06:00:00+00:00,2.6893,2.6893,2.6695,2.681,226808.0
2025-10-27 07:00:00+00:00,2.6813,2.6836,2.6388,2.6563,221038.1
2025-10-27 08:00:00+00:00,2.6558,2.6631,2.6344,2.6374,167982.2
2025-10-27 09:00:00+00:00,2.6369,2.6387,2.6164,2.6251,224580.5
2025-10-27 10:00:00+00:00,2.6252,2.6381,2.621,2.6264,157235.4
2025-10-27 11:00:00+00:00,2.6265,2.6387,2.6078,2.6359,225208.7
2025-10-27 12:00:00+00:00,2.6355,2.6362,2.6071,2.6082,312814.2
2025-10-27 13:00:00+00:00,2.6082,2.6214,2.5747,2.6122,601458.6
2025-10-27 14:00:00+00:00,2.6123,2.6154,2.5846,2.5955,267129.9
2025-10-27 15:00:00+00:00,2.5958,2.6257,2.5957,2.6224,326546.9
2025-10-27 16:00:00+00:00,2.6234,2.661,2.6234,2.6563,243656.0
2025-10-27 17:00:00+00:00,2.6563,2.6769,2.6477,2.6719,239696.0
2025-10-27 18:00:00+00:00,2.6716,2.6856,2.6586,2.66,210531.9
2025-10-27 19:00:00+00:00,2.66,2.6615,2.6333,2.6379,345457.7
2025-10-27 20:00:00+00:00,2.6379,2.6398,2.6148,2.6194,317747.0
2025-10-27 21:00:00+00:00,2.6191,2.6351,2.6115,2.6221,225730.1
2025-10-27 22:00:00+00:00,2.6217,2.6366,2.6031,2.6047,317276.6
2025-10-27 23:00:00+00:00,2.6051,2.6135,2.5881,2.6103,295900.1
2025-10-28 00:00:00+00:00,2.6106,2.62,2.5975,2.61,195492.1
2025-10-28 01:00:00+00:00,2.6111,2.6329,2.6111,2.6263,261494.5
2025-10-28 02:00:00+00:00,2.6272,2.6275,2.5861,2.6016,235347.2
2025-10-28 03:00:00+00:00,2.601,2.6128,2.5874,2.5992,224774.7
2025-10-28 04:00:00+00:00,2.5986,2.6113,2.59,2.6046,144768.1
2025-10-28 05:00:00+00:00,2.6044,2.6104,2.55,2.5677,366128.7
2025-10-28 06:00:00+00:00,2.5678,2.6332,2.5677,2.6316,232013.3
2025-10-28 07:00:00+00:00,2.6327,2.6427,2.6077,2.6084,267918.0
2025-10-28 08:00:00+00:00,2.608,2.6378,2.6079,2.6347,164327.5
2025-10-28 09:00:00+00:00,2.6348,2.6418,2.6118,2.6322,162582.7
2025-10-28 10:00:00+00:00,2.6316,2.6328,2.6182,2.6276,164604.0
2025-10-28 11:00:00+00:00,2.6273,2.6393,2.609,2.613,191528.8
2025-10-28 12:00:00+00:00,2.6121,2.6385,2.6037,2.6302,293797.9
2025-10-28 13:00:00+00:00,2.6305,2.653,2.63,2.6445,502111.8
2025-10-28 14:00:00+00:00,2.6445,2.6573,2.5599,2.6103,645331.3
2025-10-28 15:00:00+00:00,2.611,2.6171,2.579,2.595,217087.7
2025-10-28 16:00:00+00:00,2.5947,2.6186,2.5825,2.6084,228061.2
2025-10-28 17:00:00+00:00,2.6084,2.6183,2.5988,2.6088,139095.5
2025-10-28 18:00:00+00:00,2.6093,2.6121,2.5818,2.588,192044.4
2025-10-28 19:00:00+00:00,2.588,2.5958,2.527,2.5428,433573.0
2025-10-28 20:00:00+00:00,2.5425,2.5434,2.4883,2.4976,600893.2
2025-10-28 21:00:00+00:00,2.4972,2.5104,2.4623,2.4955,433413.8
2025-10-28 22:00:00+00:00,2.4954,2.517,2.4887,2.5099,177857.4
2025-10-28 23:00:00+00:00,2.5094,2.5123,2.4995,2.5055,160091.1
2025-10-29 00:00:00+00:00,2.5051,2.508,2.496,2.4979,183792.1
2025-10-29 01:00:00+00:00,2.4978,2.5147,2.4928,2.5062,144517.2
2025-10-29 02:00:00+00:00,2.5063,2.5114,2.501,2.506,116021.4
2025-10-29 03:00:00+00:00,2.5058,2.5064,2.4909,2.4986,170975.9
2025-10-29 04:00:00+00:00,2.4979,2.5069,2.4953,2.497,112283.9
2025-10-29 05:00:00+00:00,2.4966,2.5117,2.4925,2.4966,136252.7
2025-10-29 06:00:00+00:00,2.4965,2.5051,2.4921,2.5006,146808.6
2025-10-29 07:00:00+00:00,2.5006,2.5096,2.4925,2.5034,151989.7
2025-10-29 08:00:00+00:00,2.5037,2.5049,2.48,2.4837,207192.5
2025-10-29 09:00:00+00:00,2.4836,2.4978,2.4793,2.492,116297.2
2025-10-29 10:00:00+00:00,2.492,2.5263,2.4901,2.5115,173249.8
2025-10-29 11:00:00+00:00,2.5111,2.5515,2.5092,2.535,343309.53846006
2025-10-29 12:00:00+00:00,2.5343,2.5524,2.5336,2.5453,125273.0
2025-10-29 13:00:00+00:00,2.5454,2.5575,2.5147,2.5322,364278.3
2025-10-29 14:00:00+00:00,2.5317,2.534,2.5068,2.5184,322608.4
2025-10-29 15:00:00+00:00,2.5199,2.5304,2.4839,2.4945,507876.4
2025-10-29 16:00:00+00:00,2.4944,2.5112,2.4836,2.5016,258871.2
2025-10-29 17:00:00+00:00,2.5021,2.5706,2.5011,2.5701,249099.9
2025-10-29 18:00:00+00:00,2.5705,2.5803,2.431,2.5304,1664317.3
2025-10-29 19:00:00+00:00,2.5307,2.5687,2.5157,2.5489,630832.0
2025-10-29 20:00:00+00:00,2.5493,2.592,2.5295,2.5851,376796.1
2025-10-29 21:00:00+00:00,2.5854,2.5887,2.5675,2.5716,249131.0
2025-10-29 22:00:00+00:00,2.5722,2.5727,2.5501,2.5521,146703.2
2025-10-29 23:00:00+00:00,2.5542,2.5548,2.4948,2.512,343718.24998931
2025-10-30 00:00:00+00:00,2.5122,2.5179,2.4835,2.5149,241547.6
2025-10-30 01:00:00+00:00,2.515,2.515,2.4957,2.501,167413.3
2025-10-30 02:00:00+00:00,2.5009,2.5403,2.4964,2.5403,179318.5
2025-10-30 03:00:00+00:00,2.5407,2.5409,2.5061,2.516,164673.6
2025-10-30 04:00:00+00:00,2.5159,2.5162,2.4044,2.4326,588079.6
2025-10-30 05:00:00+00:00,2.4332,2.4978,2.4247,2.4913,249351.6
2025-10-30 06:00:00+00:00,2.4905,2.4985,2.4718,2.4859,227847.6
2025-10-30 07:00:00+00:00,2.4857,2.5228,2.4778,2.5133,330169.9
2025-10-30 08:00:00+00:00,2.5113,2.5125,2.488,2.4923,188977.8
2025-10-30 09:00:00+00:00,2.4924,2.496,2.4505,2.4536,313052.1
2025-10-30 10:00:00+00:00,2.4537,2.4576,2.4345,2.437,215047.5
2025-10-30 11:00:00+00:00,2.4369,2.4479,2.4301,2.432,249673.0
2025-10-30 12:00:00+00:00,2.4322,2.4346,2.3642,2.3825,670782.7
2025-10-30 13:00:00+00:00,2.3821,2.3927,2.3291,2.3418,534643.0
2025-10-30 14:00:00+00:00,2.3419,2.353,2.3145,2.3221,434359.7
2025-10-30 15:00:00+00:00,2.3219,2.3268,2.2812,2.287,467297.1
2025-10-30 16:00:00+00:00,2.287,2.3024,2.2664,2.298,398490.7
2025-10-30 17:00:00+00:00,2.298,2.298,2.2358,2.2695,627121.5
2025-10-30 18:00:00+00:00,2.2697,2.2706,2.2312,2.2349,433786.6
2025-10-30 19:00:00+00:00,2.2347,2.2399,2.21,2.215,505198.8
2025-10-30 20:00:00+00:00,2.2149,2.293,2.21,2.2579,810383.4251655
2025-10-30 21:00:00+00:00,2.2581,2.29,2.2437,2.2718,1028504.5
2025-10-30 22:00:00+00:00,2.2719,2.2792,2.27,2.2792,617303.8
2025-10-30 23:00:00+00:00,2.2792,2.2941,2.268,2.2907,1130813.1
2025-10-31 00:00:00+00:00,2.2906,2.3316,2.2874,2.3257,296850.6
2025-10-31 01:00:00+00:00,2.3259,2.3456,2.3209,2.3305,584066.6
2025-10-31 02:00:00+00:00,2.3305,2.3325,2.2995,2.3101,290423.3
2025-10-31 03:00:00+00:00,2.3103,2.3341,2.3058,2.3304,513105.6
2025-10-31 04:00:00+00:00,2.331,2.3569,2.3281,2.3532,327568.7
2025-10-31 05:00:00+00:00,2.3524,2.3524,2.3312,2.3387,189262.9
2025-10-31 06:00:00+00:00,2.3398,2.3515,2.3367,2.3505,193660.39990568
2025-10-31 07:00:00+00:00,2.3508,2.3583,2.3341,2.3374,249077.2
2025-10-31 08:00:00+00:00,2.338,2.3481,2.3241,2.3473,472749.7
2025-10-31 09:00:00+00:00,2.3473,2.3559,2.3431,2.3496,196791.9
2025-10-31 10:00:00+00:00,2.3499,2.3757,2.3483,2.352,228429.3
2025-10-31 11:00:00+00:00,2.3521,2.3765,2.3435,2.3732,234593.3
2025-10-31 12:00:00+00:00,2.3734,2.3917,2.3565,2.3577,386127.4
2025-10-31 13:00:00+00:00,2.3581,2.3855,2.3471,2.3855,409120.6
2025-10-31 14:00:00+00:00,2.3856,2.3994,2.3618,2.3916,373513.09027296
2025-10-31 15:00:00+00:00,2.3915,2.4003,2.3633,2.3721,429343.6
2025-10-31 16:00:00+00:00,2.3704,2.3763,2.3082,2.3123,373266.0
2025-10-31 17:00:00+00:00,2.3108,2.3326,2.2964,2.3235,309302.7
2025-10-31 18:00:00+00:00,2.3244,2.352,2.3154,2.3412,358044.5
2025-10-31 19:00:00+00:00,2.3411,2.396,2.3264,2.3895,380648.9
2025-10-31 20:00:00+00:00,2.3896,2.3896,2.3592,2.3615,236020.6
