datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,406.31,406.38,402.16,404.74,1168.1101
2025-10-26 20:00:00+00:00,404.66,404.8,400.08,400.08,665.529
2025-10-26 21:00:00+00:00,400.19,403.7,396.37,403.7,1706.02819904
2025-10-26 22:00:00+00:00,403.83,418.12,402.88,407.31,2197.9675
2025-10-26 23:00:00+00:00,407.3,408.72,403.65,404.86,1217.2542
2025-10-27 00:00:00+00:00,405.0,407.07,400.34,402.12,1680.9039
2025-10-27 01:00:00+00:00,401.99,407.44,399.85,406.73,1013.4131
2025-10-27 02:00:00+00:00,406.56,417.37,406.55,409.23,1095.9021
2025-10-27 03:00:00+00:00,409.21,412.48,406.06,409.89,1212.6279
2025-10-27 04:00:00+00:00,410.03,419.95,409.39,415.81,1336.9754
2025-10-27 05:00:00+00:00,415.77,417.65,409.8,411.12,760.51
2025-10-27 06:00:00+00:00,411.12,417.53,406.47,416.11,1244.4339
2025-10-27 07:00:00+00:00,415.83,418.5,403.69,407.04,1158.6082
2025-10-27 08:00:00+00:00,406.86,410.5,402.37,404.41,876.2445
2025-10-27 09:00:00+00:00,404.17,404.17,398.68,400.43,1543.3097
2025-10-27 10:00:00+00:00,400.33,403.5,398.85,400.85,1126.5593
2025-10-27 11:00:00+00:00,400.73,403.7,399.4,402.64,1007.9284
2025-10-27 12:00:00+00:00,402.89,403.74,399.9,400.9,843.5075
2025-10-27 13:00:00+00:00,400.92,417.43,400.85,413.81,2144.9786
2025-10-27 14:00:00+00:00,413.96,414.93,400.97,407.88,1308.364
2025-10-27 15:00:00+00:00,407.83,415.38,407.83,414.16,1090.7339
2025-10-27 16:00:00+00:00,414.23,423.38,411.79,417.29,1686.6871
2025-10-27 17:00:00+00:00,417.29,419.24,413.22,419.03,868.4711
2025-10-27 18:00:00+00:00,418.76,418.97,412.07,414.99,905.5529
2025-10-27 19:00:00+00:00,414.86,414.88,408.01,408.46,987.4321
2025-10-27 20:00:00+00:00,408.76,409.3,403.85,405.8,1523.1254
2025-10-27 21:00:00+00:00,405.74,413.31,405.74,411.99,874.9581
2025-10-27 22:00:00+00:00,411.91,416.04,409.61,412.74,806.4046
2025-10-27 23:00:00+00:00,412.82,416.78,409.11,415.29,969.3666
2025-10-28 00:00:00+00:00,415.28,422.42,414.66,419.14,2223.8702
2025-10-28 01:00:00+00:00,419.84,422.99,412.46,414.57,846.0693
2025-10-28 02:00:00+00:00,414.43,415.75,404.69,407.61,1428.889
2025-10-28 03:00:00+00:00,407.45,420.87,406.99,420.15,1296.3784
2025-10-28 04:00:00+00:00,420.33,423.17,417.57,421.48,1156.5296
2025-10-28 05:00:00+00:00,421.51,423.16,408.71,410.88,894.1526
2025-10-28 06:00:00+00:00,410.84,421.44,410.32,418.51,1048.693
2025-10-28 07:00:00+00:00,418.63,427.65,415.67,422.7,1886.2423
2025-10-28 08:00:00+00:00,422.81,439.5,421.33,433.81,2666.7377
2025-10-28 09:00:00+00:00,433.77,447.99,433.58,443.66,2114.0023
2025-10-28 10:00:00+00:00,444.27,449.44,440.27,445.51,1997.8395
2025-10-28 11:00:00+00:00,445.64,449.19,440.77,443.85,2791.0061
2025-10-28 12:00:00+00:00,443.83,453.68,440.34,448.5,1911.8231
2025-10-28 13:00:00+00:00,448.78,459.56,448.78,451.06,3199.25189633
2025-10-28 14:00:00+00:00,451.53,454.88,433.89,443.56,2419.6534
2025-10-28 15:00:00+00:00,444.23,459.16,438.47,447.12,4044.3576
2025-10-28 16:00:00+00:00,447.46,452.33,445.31,450.33,1861.4516
2025-10-28 17:00:00+00:00,450.22,450.48,442.56,446.57,917.1092
2025-10-28 18:00:00+00:00,446.13,450.36,440.05,444.98,749.6184
2025-10-28 19:00:00+00:00,445.38,446.13,431.96,434.07,1457.3174
2025-10-28 20:00:00+00:00,434.18,434.61,423.09,423.83,3230.4089
2025-10-28 21:00:00+00:00,423.9,436.68,422.06,430.56,1782.64407744
2025-10-28 22:00:00+00:00,430.54,436.96,427.79,434.8,625.9701
2025-10-28 23:00:00+00:00,434.53,434.53,429.99,432.27,496.8906
2025-10-29 00:00:00+00:00,432.13,435.06,428.46,428.98,557.4498
2025-10-29 01:00:00+00:00,429.07,434.0,427.41,428.92,695.1247
2025-10-29 02:00:00+00:00,428.8,431.54,425.02,425.72,543.0346
2025-10-29 03:00:00+00:00,425.46,426.72,423.0,424.63,558.0501
2025-10-29 04:00:00+00:00,424.28,434.08,423.68,433.1,630.161
2025-10-29 05:00:00+00:00,433.06,438.9,431.18,435.25,1212.6006
2025-10-29 06:00:00+00:00,435.14,437.32,432.64,435.05,1085.3491
2025-10-29 07:00:00+00:00,434.98,435.01,426.82,429.51,893.1457
2025-10-29 08:00:00+00:00,429.67,429.67,415.42,417.88,1973.9004
2025-10-29 09:00:00+00:00,417.52,421.84,416.49,419.42,818.0995
2025-10-29 10:00:00+00:00,419.4,424.57,418.95,421.68,1216.92674914
2025-10-29 11:00:00+00:00,421.9,429.92,419.72,428.43,894.867
2025-10-29 12:00:00+00:00,428.37,429.2,424.47,425.36,509.1329
2025-10-29 13:00:00+00:00,425.63,431.14,422.72,426.65,1453.9422
2025-10-29 14:00:00+00:00,427.13,430.16,423.88,428.17,586.1962
2025-10-29 15:00:00+00:00,428.22,428.56,421.4,425.86,954.6238
2025-10-29 16:00:00+00:00,425.37,436.87,423.81,427.8,1479.4929
2025-10-29 17:00:00+00:00,427.87,433.96,420.06,432.31,945.4137
2025-10-29 18:00:00+00:00,432.27,435.06,410.5,428.25,3748.44547187
2025-10-29 19:00:00+00:00,428.21,436.19,426.88,433.71,2500.00479457
2025-10-29 20:00:00+00:00,433.88,446.14,427.79,443.42,1694.48279382
2025-10-29 21:00:00+00:00,443.37,451.0,441.36,449.64,1611.387
2025-10-29 22:00:00+00:00,449.61,450.51,441.26,443.52,1108.01
2025-10-29 23:00:00+00:00,443.28,450.36,437.2,440.89,2385.9479
2025-10-30 00:00:00+00:00,441.08,450.14,435.84,450.14,1143.765
2025-10-30 01:00:00+00:00,450.09,455.49,444.15,448.03,1885.6311
2025-10-30 02:00:00+00:00,448.24,453.6,445.29,449.37,823.2468
2025-10-30 03:00:00+00:00,449.63,449.63,443.64,448.16,441.877
2025-10-30 04:00:00+00:00,448.25,448.26,432.66,439.51,1635.6699
2025-10-30 05:00:00+00:00,439.33,448.26,436.12,445.2,1124.891
2025-10-30 06:00:00+00:00,445.35,447.34,441.07,442.11,716.2866
2025-10-30 07:00:00+00:00,442.13,453.83,442.11,448.99,946.9566
2025-10-30 08:00:00+00:00,449.25,450.76,440.55,441.22,756.0039
2025-10-30 09:00:00+00:00,440.99,442.09,428.5,430.65,1455.9171
2025-10-30 10:00:00+00:00,430.42,436.15,428.45,432.33,1014.033
2025-10-30 11:00:00+00:00,432.44,432.63,425.0,425.64,967.5564
2025-10-30 12:00:00+00:00,425.8,429.55,421.57,423.86,2068.4491
2025-10-30 13:00:00+00:00,423.57,427.48,406.65,416.41,3851.4996
2025-10-30 14:00:00+00:00,416.28,421.17,411.73,418.85,1793.0285
2025-10-30 15:00:00+00:00,418.64,419.32,411.0,411.85,859.28
2025-10-30 16:00:00+00:00,411.95,415.52,408.89,415.52,981.0581
2025-10-30 17:00:00+00:00,415.56,415.58,398.42,404.67,2419.8514142
2025-10-30 18:00:00+00:00,404.86,405.37,396.25,396.64,1094.4176
2025-10-30 19:00:00+00:00,396.92,398.5,389.2,390.05,1595.9174
2025-10-30 20:00:00+00:00,389.94,405.11,388.89,404.0,1958.2008
2025-10-30 21:00:00+00:00,403.67,405.42,398.76,404.99,913.6004
2025-10-30 22:00:00+00:00,405.07,412.5,403.7,411.1,798.9762
2025-10-30 23:00:00+00:00,411.18,416.16,409.01,414.66,740.3966
2025-10-31 00:00:00+00:00,414.48,422.14,414.42,420.33,527.2773
