datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,1.323,1.335,1.3034,1.31,75018.61
2025-10-26 20:00:00+00:00,1.309,1.3336,1.2843,1.3336,47093.31
2025-10-26 21:00:00+00:00,1.3335,1.4438,1.3335,1.4409,242724.07
2025-10-26 22:00:00+00:00,1.4413,1.5198,1.4273,1.484,304321.88223716
2025-10-26 23:00:00+00:00,1.4833,1.5767,1.4821,1.5116,358702.2
2025-10-27 00:00:00+00:00,1.5117,1.556,1.4915,1.527,179116.52
2025-10-27 01:00:00+00:00,1.5293,1.595,1.5158,1.5908,147607.65
2025-10-27 02:00:00+00:00,1.5901,1.6461,1.575,1.5977,432992.58
2025-10-27 03:00:00+00:00,1.597,1.5987,1.52,1.5429,143579.55
2025-10-27 04:00:00+00:00,1.5429,1.58,1.5394,1.5664,110075.71
2025-10-27 05:00:00+00:00,1.5639,1.5841,1.5448,1.5554,73014.87
2025-10-27 06:00:00+00:00,1.5544,1.5544,1.481,1.4881,150532.68
2025-10-27 07:00:00+00:00,1.4874,1.4976,1.4569,1.4897,123020.41
2025-10-27 08:00:00+00:00,1.4889,1.5073,1.4444,1.4516,95556.93
2025-10-27 09:00:00+00:00,1.4499,1.46,1.4363,1.4541,60508.92
2025-10-27 10:00:00+00:00,1.4534,1.4678,1.4415,1.4617,51326.89
2025-10-27 11:00:00+00:00,1.4599,1.4642,1.4076,1.4126,98630.83
2025-10-27 12:00:00+00:00,1.4107,1.4898,1.4085,1.476,89735.04715618
2025-10-27 13:00:00+00:00,1.4757,1.491,1.45,1.4683,153145.03
2025-10-27 14:00:00+00:00,1.4764,1.4923,1.4533,1.4615,63511.62
2025-10-27 15:00:00+00:00,1.4605,1.5059,1.459,1.482,65848.77
2025-10-27 16:00:00+00:00,1.4746,1.4984,1.463,1.4731,74146.30700456
2025-10-27 17:00:00+00:00,1.4725,1.485,1.4679,1.4774,20500.2
2025-10-27 18:00:00+00:00,1.4734,1.4735,1.4358,1.4557,29192.32
2025-10-27 19:00:00+00:00,1.4567,1.467,1.44,1.4458,37127.1
2025-10-27 20:00:00+00:00,1.4416,1.4416,1.4237,1.4261,147287.48
2025-10-27 21:00:00+00:00,1.4281,1.4406,1.4186,1.4273,31446.38
2025-10-27 22:00:00+00:00,1.428,1.4345,1.4002,1.4003,91026.76
2025-10-27 23:00:00+00:00,1.407,1.455,1.4051,1.4313,33129.42
2025-10-28 00:00:00+00:00,1.4331,1.4615,1.4089,1.4582,55724.07
2025-10-28 01:00:00+00:00,1.46,1.4763,1.4135,1.4135,50700.92
2025-10-28 02:00:00+00:00,1.4167,1.4238,1.382,1.4093,81880.74
2025-10-28 03:00:00+00:00,1.4045,1.485,1.4042,1.4749,90360.07
2025-10-28 04:00:00+00:00,1.4764,1.496,1.4468,1.4563,34262.76
2025-10-28 05:00:00+00:00,1.455,1.4744,1.425,1.453,15674.2
2025-10-28 06:00:00+00:00,1.453,1.468,1.404,1.404,49507.03
2025-10-28 07:00:00+00:00,1.4053,1.414,1.3619,1.3767,63383.14
2025-10-28 08:00:00+00:00,1.3763,1.434,1.3731,1.418,36795.75
2025-10-28 09:00:00+00:00,1.4201,1.4797,1.4201,1.461,64092.52
2025-10-28 10:00:00+00:00,1.4622,1.589,1.454,1.5813,188063.36
2025-10-28 11:00:00+00:00,1.5832,1.723,1.564,1.5767,434153.83
2025-10-28 12:00:00+00:00,1.576,1.5798,1.3829,1.4587,259783.52
2025-10-28 13:00:00+00:00,1.4613,1.5201,1.448,1.4704,121732.7
2025-10-28 14:00:00+00:00,1.4725,1.489,1.4544,1.4712,67882.29066299
2025-10-28 15:00:00+00:00,1.476,1.482,1.4276,1.447,23848.6
2025-10-28 16:00:00+00:00,1.4454,1.4902,1.445,1.4708,38817.6
2025-10-28 17:00:00+00:00,1.4739,1.5194,1.4588,1.515,69542.94
2025-10-28 18:00:00+00:00,1.5141,1.5303,1.4961,1.5261,96091.78225204
2025-10-28 19:00:00+00:00,1.5262,1.5384,1.473,1.4851,211567.28
2025-10-28 20:00:00+00:00,1.4894,1.4897,1.4429,1.447,192160.65
2025-10-28 21:00:00+00:00,1.446,1.5224,1.437,1.4711,110176.17
2025-10-28 22:00:00+00:00,1.474,1.5465,1.4671,1.5308,159172.69
2025-10-28 23:00:00+00:00,1.5313,1.5323,1.4965,1.4991,117566.8884657
2025-10-29 00:00:00+00:00,1.4991,1.5431,1.4826,1.5209,73033.79
2025-10-29 01:00:00+00:00,1.5204,1.5386,1.4977,1.5217,49680.98
2025-10-29 02:00:00+00:00,1.5187,1.5405,1.4886,1.494,61763.38839254
2025-10-29 03:00:00+00:00,1.4912,1.5035,1.4678,1.47,25848.69
2025-10-29 04:00:00+00:00,1.4691,1.5276,1.4675,1.5089,51910.21
2025-10-29 05:00:00+00:00,1.5084,1.5084,1.4609,1.4697,29129.51
2025-10-29 06:00:00+00:00,1.467,1.4845,1.4482,1.4651,20715.53
2025-10-29 07:00:00+00:00,1.4606,1.4958,1.4535,1.4551,33226.65
2025-10-29 08:00:00+00:00,1.4598,1.4907,1.4332,1.4635,223662.14
2025-10-29 09:00:00+00:00,1.46,1.4856,1.4506,1.4829,57999.96
2025-10-29 10:00:00+00:00,1.4812,1.5325,1.4812,1.506,63287.12
2025-10-29 11:00:00+00:00,1.5061,1.5275,1.4676,1.5184,51283.53
2025-10-29 12:00:00+00:00,1.5174,1.5174,1.4849,1.4918,39228.21
2025-10-29 13:00:00+00:00,1.497,1.5147,1.472,1.487,35818.92
2025-10-29 14:00:00+00:00,1.4851,1.4851,1.454,1.469,16635.14
2025-10-29 15:00:00+00:00,1.47,1.4984,1.462,1.468,42375.68
2025-10-29 16:00:00+00:00,1.4665,1.53,1.4586,1.53,49040.88
2025-10-29 17:00:00+00:00,1.5227,1.5687,1.5112,1.552,117695.28
2025-10-29 18:00:00+00:00,1.552,1.556,1.4649,1.5116,283466.64623744
2025-10-29 19:00:00+00:00,1.5144,1.5798,1.5144,1.522,202974.08
2025-10-29 20:00:00+00:00,1.5232,1.5772,1.507,1.5703,108288.06568949
2025-10-29 21:00:00+00:00,1.5702,1.5944,1.5448,1.57,121118.88
2025-10-29 22:00:00+00:00,1.5716,1.572,1.5164,1.5338,41879.41
2025-10-29 23:00:00+00:00,1.5337,1.5395,1.4839,1.5156,80444.86
2025-10-30 00:00:00+00:00,1.516,1.5297,1.4879,1.5,73311.01
2025-10-30 01:00:00+00:00,1.4984,1.5196,1.4897,1.4997,89607.45
2025-10-30 02:00:00+00:00,1.499,1.554,1.497,1.5416,49117.75
2025-10-30 03:00:00+00:00,1.5424,1.5442,1.5051,1.5206,55680.46
2025-10-30 04:00:00+00:00,1.5208,1.5208,1.443,1.482,139914.26
2025-10-30 05:00:00+00:00,1.4836,1.4852,1.4466,1.4528,74823.14
2025-10-30 06:00:00+00:00,1.4519,1.452,1.4099,1.4389,82522.21574963
2025-10-30 07:00:00+00:00,1.435,1.4962,1.4258,1.4959,64447.43
2025-10-30 08:00:00+00:00,1.4944,1.5118,1.4609,1.461,85465.49801804
2025-10-30 09:00:00+00:00,1.4629,1.4637,1.42,1.4213,62497.31
2025-10-30 10:00:00+00:00,1.4221,1.4319,1.393,1.4107,76400.65
2025-10-30 11:00:00+00:00,1.4116,1.4182,1.386,1.3902,167415.34
2025-10-30 12:00:00+00:00,1.3906,1.402,1.3697,1.3832,126323.6
2025-10-30 13:00:00+00:00,1.3819,1.3985,1.3413,1.3536,223447.15
2025-10-30 14:00:00+00:00,1.3574,1.375,1.334,1.3393,77122.3
2025-10-30 15:00:00+00:00,1.343,1.349,1.308,1.3118,86163.74
2025-10-30 16:00:00+00:00,1.311,1.3198,1.2889,1.3003,102255.79
2025-10-30 17:00:00+00:00,1.2973,1.298,1.2608,1.2642,114482.36
2025-10-30 18:00:00+00:00,1.2691,1.28,1.2077,1.2239,140456.79
2025-10-30 19:00:00+00:00,1.2208,1.251,1.2164,1.2357,46903.44
2025-10-30 20:00:00+00:00,1.2375,1.2652,1.235,1.2564,117268.19
2025-10-30 21:00:00+00:00,1.2518,1.2965,1.2408,1.2847,114564.25
2025-10-30 22:00:00+00:00,1.2858,1.3018,1.263,1.275,150339.95
2025-10-30 23:00:00+00:00,1.2758,1.276,1.2527,1.2555,84038.33
2025-10-31 00:00:00+00:00,1.2551,1.3237,1.2469,1.3199,135673.9
2025-10-31 01:00:00+00:00,1.3142,1.3524,1.3095,1.3377,171437.43
2025-10-31 02:00:00+00:00,1.3409,1.3409,1.3034,1.314,108104.06
2025-10-31 03:00:00+00:00,1.3138,1.3415,1.3108,1.3256,49746.57
2025-10-31 04:00:00+00:00,1.3244,1.3396,1.313,1.33,148284.04
2025-10-31 05:00:00+00:00,1.327,1.3416,1.319,1.3292,109519.4
2025-10-31 06:00:00+00:00,1.3318,1.3596,1.3248,1.3291,70362.45
2025-10-31 07:00:00+00:00,1.3295,1.3582,1.327,1.3552,41910.19177155
2025-10-31 08:00:00+00:00,1.3529,1.4152,1.336,1.4152,75710.21
2025-10-31 09:00:00+00:00,1.4159,1.4642,1.41,1.4445,99632.89
2025-10-31 10:00:00+00:00,1.447,1.452,1.3996,1.4153,80502.73
2025-10-31 11:00:00+00:00,1.4154,1.4435,1.3975,1.4294,93296.25
2025-10-31 12:00:00+00:00,1.427,1.427,1.3572,1.3829,107400.17
2025-10-31 13:00:00+00:00,1.379,1.4072,1.3706,1.4058,45759.19
