datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,0.9489,0.9579,0.9413,0.9443,70129.9506
2025-10-26 20:00:00+00:00,0.944,0.9481,0.9288,0.9359,151161.033
2025-10-26 21:00:00+00:00,0.936,0.9399,0.9312,0.9387,14709.5438
2025-10-26 22:00:00+00:00,0.939,0.9646,0.939,0.9546,58379.3607
2025-10-26 23:00:00+00:00,0.9546,0.9583,0.9476,0.9492,37117.9315
2025-10-27 00:00:00+00:00,0.9495,0.9515,0.9438,0.9467,22503.0099
2025-10-27 01:00:00+00:00,0.9449,0.9536,0.9439,0.9535,17963.2238
2025-10-27 02:00:00+00:00,0.9537,0.9551,0.9462,0.9505,11653.9584
2025-10-27 03:00:00+00:00,0.9506,0.9551,0.9444,0.9494,20952.8275
2025-10-27 04:00:00+00:00,0.9498,0.9552,0.9459,0.9526,29036.7778
2025-10-27 05:00:00+00:00,0.9527,0.9592,0.947,0.9473,25247.2638
2025-10-27 06:00:00+00:00,0.948,0.9532,0.9411,0.9495,40603.1703
2025-10-27 07:00:00+00:00,0.9489,0.9509,0.9351,0.9425,26131.9383
2025-10-27 08:00:00+00:00,0.942,0.9435,0.9297,0.9323,25554.0324
2025-10-27 09:00:00+00:00,0.9317,0.9319,0.9222,0.9282,39955.9171
2025-10-27 10:00:00+00:00,0.927,0.9301,0.9198,0.9219,43574.2611
2025-10-27 11:00:00+00:00,0.9218,0.9425,0.9218,0.9289,45636.4039
2025-10-27 12:00:00+00:00,0.9291,0.9309,0.9212,0.9231,14188.4446
2025-10-27 13:00:00+00:00,0.9229,0.9284,0.9129,0.9216,18088.5224
2025-10-27 14:00:00+00:00,0.9226,0.9228,0.9125,0.9158,37235.1315
2025-10-27 15:00:00+00:00,0.9164,0.9223,0.9158,0.9196,19947.4155
2025-10-27 16:00:00+00:00,0.9202,0.9343,0.9202,0.9323,13616.9351
2025-10-27 17:00:00+00:00,0.9327,0.9329,0.9255,0.9312,15182.8763
2025-10-27 18:00:00+00:00,0.9307,0.9344,0.9251,0.9284,16644.7991
2025-10-27 19:00:00+00:00,0.9279,0.9299,0.9187,0.9194,71015.6848
2025-10-27 20:00:00+00:00,0.9191,0.9191,0.9062,0.9097,55197.9495
2025-10-27 21:00:00+00:00,0.9091,0.9146,0.9063,0.9095,28187.3972
2025-10-27 22:00:00+00:00,0.9088,0.9136,0.9038,0.9048,27192.1795
2025-10-27 23:00:00+00:00,0.9047,0.9064,0.8975,0.9044,62810.5421
2025-10-28 00:00:00+00:00,0.9039,0.9066,0.8984,0.9008,13723.8772
2025-10-28 01:00:00+00:00,0.9019,0.9062,0.9005,0.9037,15048.0871
2025-10-28 02:00:00+00:00,0.9043,0.9051,0.8917,0.8978,28098.9033
2025-10-28 03:00:00+00:00,0.8973,0.9003,0.8924,0.8966,17774.4934
2025-10-28 04:00:00+00:00,0.8955,0.9014,0.8935,0.8996,16346.3516
2025-10-28 05:00:00+00:00,0.9,0.9019,0.8896,0.8908,26662.2656
2025-10-28 06:00:00+00:00,0.8907,0.9059,0.8897,0.9056,22649.9036
2025-10-28 07:00:00+00:00,0.9059,0.9082,0.8965,0.8975,18483.7914
2025-10-28 08:00:00+00:00,0.8977,0.9021,0.8965,0.8995,11533.6966
2025-10-28 09:00:00+00:00,0.8996,0.9019,0.8949,0.8987,18514.1058
2025-10-28 10:00:00+00:00,0.8989,0.9022,0.8955,0.902,14138.3021
2025-10-28 11:00:00+00:00,0.902,0.911,0.9002,0.9035,75507.235
2025-10-28 12:00:00+00:00,0.9038,0.91,0.8977,0.9086,19382.9479
2025-10-28 13:00:00+00:00,0.9085,0.9238,0.9085,0.9214,51424.5984
2025-10-28 14:00:00+00:00,0.9214,0.9245,0.882,0.9042,77221.17443356
2025-10-28 15:00:00+00:00,0.9054,0.9118,0.8957,0.8996,57356.1601
2025-10-28 16:00:00+00:00,0.8989,0.9095,0.8955,0.9048,23471.7536
2025-10-28 17:00:00+00:00,0.9052,0.9084,0.9005,0.9037,19179.1821
2025-10-28 18:00:00+00:00,0.9034,0.9069,0.8937,0.8974,20293.9027
2025-10-28 19:00:00+00:00,0.898,0.8989,0.8746,0.8788,76320.6851
2025-10-28 20:00:00+00:00,0.8772,0.8785,0.8594,0.8654,118141.0445
2025-10-28 21:00:00+00:00,0.8642,0.8695,0.8523,0.8639,62879.2784
