datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,1.7516,1.7519,1.739,1.7472,28503.78
2025-10-26 20:00:00+00:00,1.7474,1.7493,1.7328,1.7457,30813.98
2025-10-26 21:00:00+00:00,1.746,1.75,1.7339,1.745,28812.77
2025-10-26 22:00:00+00:00,1.7451,1.7837,1.7451,1.7673,96032.33
2025-10-26 23:00:00+00:00,1.7675,1.7716,1.7562,1.7599,37258.26
2025-10-27 00:00:00+00:00,1.76,1.7713,1.7547,1.7681,41223.66
2025-10-27 01:00:00+00:00,1.7681,1.7866,1.7651,1.7835,34750.42
2025-10-27 02:00:00+00:00,1.7834,1.7912,1.7727,1.7746,26250.64
2025-10-27 03:00:00+00:00,1.775,1.7825,1.7693,1.7811,34259.1
2025-10-27 04:00:00+00:00,1.7811,1.7884,1.7698,1.7859,20495.09
2025-10-27 05:00:00+00:00,1.7858,1.8051,1.7794,1.7798,31027.87
2025-10-27 06:00:00+00:00,1.7798,1.7845,1.7634,1.7783,34682.49
2025-10-27 07:00:00+00:00,1.778,1.7855,1.7616,1.7727,27362.94
2025-10-27 08:00:00+00:00,1.7726,1.7785,1.7439,1.7479,25219.86
2025-10-27 09:00:00+00:00,1.7481,1.7491,1.7162,1.72,48334.38
2025-10-27 10:00:00+00:00,1.7204,1.7282,1.7182,1.7239,29987.75
2025-10-27 11:00:00+00:00,1.7239,1.7324,1.716,1.732,32503.96
2025-10-27 12:00:00+00:00,1.7321,1.7356,1.7122,1.714,32235.59
2025-10-27 13:00:00+00:00,1.7139,1.7212,1.6904,1.7129,62643.15
2025-10-27 14:00:00+00:00,1.7128,1.7161,1.6969,1.7065,53135.32
2025-10-27 15:00:00+00:00,1.7072,1.7254,1.7065,1.7133,46789.87
2025-10-27 16:00:00+00:00,1.7134,1.742,1.7134,1.7372,48567.88
2025-10-27 17:00:00+00:00,1.7372,1.7493,1.7314,1.746,42936.24
2025-10-27 18:00:00+00:00,1.7453,1.7546,1.7388,1.74,36666.26
2025-10-27 19:00:00+00:00,1.7399,1.7426,1.7206,1.7232,37679.3
2025-10-27 20:00:00+00:00,1.7231,1.7231,1.7013,1.7045,49741.28
2025-10-27 21:00:00+00:00,1.7042,1.7181,1.6986,1.7053,28914.8
2025-10-27 22:00:00+00:00,1.7053,1.7128,1.6887,1.6913,39902.31
2025-10-27 23:00:00+00:00,1.6914,1.6951,1.68,1.6921,42837.68
2025-10-28 00:00:00+00:00,1.6913,1.6977,1.6748,1.6851,41651.49
2025-10-28 01:00:00+00:00,1.6855,1.6957,1.6844,1.6899,35260.49
2025-10-28 02:00:00+00:00,1.6903,1.6945,1.6665,1.6797,49211.71
2025-10-28 03:00:00+00:00,1.6799,1.6849,1.6688,1.6746,40592.65
2025-10-28 04:00:00+00:00,1.675,1.6967,1.6701,1.6926,61712.1
2025-10-28 05:00:00+00:00,1.6922,1.6951,1.6712,1.6724,43133.97
2025-10-28 06:00:00+00:00,1.6732,1.7096,1.6698,1.7081,40447.41
2025-10-28 07:00:00+00:00,1.7083,1.7171,1.6899,1.6933,37168.2
2025-10-28 08:00:00+00:00,1.6937,1.7141,1.6897,1.7067,44606.9
2025-10-28 09:00:00+00:00,1.7066,1.7091,1.6939,1.705,33761.27
2025-10-28 10:00:00+00:00,1.7049,1.7055,1.6959,1.7039,24216.97
2025-10-28 11:00:00+00:00,1.7039,1.7128,1.6924,1.695,37198.11
2025-10-28 12:00:00+00:00,1.695,1.719,1.6891,1.7162,38931.36
2025-10-28 13:00:00+00:00,1.7163,1.7445,1.7163,1.7442,61604.27
2025-10-28 14:00:00+00:00,1.7441,1.7483,1.6867,1.7237,110032.83
2025-10-28 15:00:00+00:00,1.7237,1.7292,1.7016,1.7055,61028.29
2025-10-28 16:00:00+00:00,1.706,1.7206,1.6992,1.7093,67576.0
2025-10-28 17:00:00+00:00,1.7092,1.719,1.706,1.7149,34820.59
2025-10-28 18:00:00+00:00,1.7157,1.7217,1.6965,1.7058,38448.67
2025-10-28 19:00:00+00:00,1.7059,1.7079,1.674,1.6815,79191.66
2025-10-28 20:00:00+00:00,1.6811,1.6814,1.6391,1.6518,148623.83
2025-10-28 21:00:00+00:00,1.6518,1.6615,1.6298,1.6513,66947.4
2025-10-28 22:00:00+00:00,1.6513,1.6685,1.6448,1.6629,40173.04
2025-10-28 23:00:00+00:00,1.6624,1.6641,1.6503,1.6581,25279.35
2025-10-29 00:00:00+00:00,1.6583,1.67,1.6492,1.6503,44010.39
2025-10-29 01:00:00+00:00,1.6498,1.6632,1.6463,1.6565,37727.6
