timestamp,open,high,low,close,volume
2023-11-10,5.0917,5.3173,4.9659,5.3006,860450.82003784
2023-11-11,5.3025,5.6808,5.0876,5.5585,1222134.8055
2023-11-12,5.5603,5.8575,5.3466,5.7102,1062260.68155598
2023-11-13,5.7085,5.8867,5.3214,5.3486,987391.3554686
2023-11-14,5.35,5.5222,5.0,5.1973,776526.1231
2023-11-15,5.1996,5.6385,5.1846,5.5644,594608.68725114
2023-11-16,5.5673,5.8009,5.2747,5.3533,1242701.0308
2023-11-17,5.3527,5.4859,5.0527,5.2435,819204.0645
2023-11-18,5.2451,5.2929,4.9911,5.2883,376009.1276
2023-11-19,5.2893,5.48,5.1754,5.4349,504925.8405
2023-11-20,5.4352,5.5688,5.2539,5.3024,738343.79940562
2023-11-21,5.3025,5.3283,4.8201,4.857,773215.7314
2023-11-22,4.8567,5.2879,4.844,5.1732,491729.59168432
2023-11-23,5.1745,5.2185,5.0816,5.1356,209271.2759
2023-11-24,5.1386,5.2918,5.1204,5.2388,373490.8198
2023-11-25,5.2433,5.3872,5.21,5.3282,251151.335689
2023-11-26,5.3287,5.411,5.1434,5.3264,397913.119
2023-11-27,5.3314,5.3758,5.0348,5.1561,510083.383
2023-11-28,5.1589,5.3118,5.1043,5.2738,414864.5489
2023-11-29,5.2747,5.3852,5.1504,5.1613,465823.69793523
2023-11-30,5.1602,5.5771,5.1183,5.4715,719406.72494684
2023-12-01,5.4732,5.5248,5.3697,5.4716,319564.79233473
2023-12-02,5.472,5.6037,5.4519,5.5604,328142.9358
2023-12-03,5.562,5.6236,5.426,5.5408,443520.2805
2023-12-04,5.5408,5.7201,5.4054,5.6337,852332.3352
2023-12-05,5.6341,5.9501,5.5115,5.9058,1364180.71495337
2023-12-06,5.9066,6.2054,5.7725,6.0447,1061739.56685502
2023-12-07,6.0485,6.297,5.8924,6.2459,751233.33674412
2023-12-08,6.2409,6.9196,6.1679,6.8361,1033316.12652737
2023-12-09,6.8414,7.6869,6.8318,7.1039,1971318.92351175
2023-12-10,7.104,7.3524,6.9428,7.3492,608129.98907022
2023-12-11,7.3465,7.3597,6.2057,6.7092,1227682.68725664
