timestamp,open,high,low,close,volume
2023-11-10,1.4371,1.5856,1.4006,1.5541,1961570.2348
2023-11-11,1.5549,1.6334,1.4688,1.5979,2339370.9429
2023-11-12,1.5978,1.7999,1.5204,1.702,3269462.2031
2023-11-13,1.702,1.7456,1.5888,1.5902,2733363.73654625
2023-11-14,1.5901,1.6256,1.4495,1.537,2377188.8604
2023-11-15,1.5363,1.7394,1.5334,1.7005,2472587.6845
2023-11-16,1.701,1.8575,1.63,1.7235,2661949.3637
2023-11-17,1.7205,1.95,1.7125,1.8701,3203228.66427049
2023-11-18,1.8706,1.8969,1.6775,1.7703,2422222.4324
2023-11-19,1.7693,2.0523,1.7141,1.9849,2983176.1084
2023-11-20,1.99,2.1873,1.9627,1.9954,3161041.40566335
2023-11-21,1.9992,2.0506,1.7309,1.751,2388503.34771232
2023-11-22,1.7492,1.8681,1.7428,1.8254,1397970.46210017
2023-11-23,1.8257,1.8552,1.7654,1.807,1195517.58717506
2023-11-24,1.8085,1.9145,1.7759,1.8356,1175770.0386
2023-11-25,1.8335,1.9114,1.8179,1.8851,578556.0191
2023-11-26,1.8878,1.9154,1.7857,1.8261,783569.4167
2023-11-27,1.8277,1.8333,1.7314,1.7808,829685.0687
2023-11-28,1.7809,1.8256,1.7308,1.8201,467166.1077
2023-11-29,1.8212,1.8905,1.7926,1.8004,586269.83916621
2023-11-30,1.7992,1.8895,1.7857,1.8796,538511.2674
2023-12-01,1.8805,1.9078,1.8549,1.8936,450651.5564
2023-12-02,1.8917,2.038,1.8907,2.0077,1133972.57594886
2023-12-03,2.0088,2.0251,1.9518,1.9792,862934.5548
2023-12-04,1.979,2.1951,1.9766,2.1489,2360505.8962
2023-12-05,2.1491,2.3207,2.1332,2.252,2497118.3734
2023-12-06,2.2571,2.396,2.2415,2.287,2110340.81629081
2023-12-07,2.2877,2.374,2.2124,2.2674,1206621.65638066
2023-12-08,2.2694,2.3935,2.1907,2.376,1345408.2232
2023-12-09,2.3811,2.6129,2.3794,2.42,1884877.9969
2023-12-10,2.4252,2.5953,2.383,2.5155,1080667.619
2023-12-11,2.524,2.5416,2.1503,2.2401,1978435.17078937
2023-12-12,2.2408,2.4646,2.2226,2.3047,1380199.23365961
2023-12-13,2.3038,2.3431,2.1005,2.3273,1372922.0898804
2023-12-14,2.3301,2.3549,2.149,2.3234,1317009.73775113
2023-12-15,2.3249,2.326,2.1813,2.1894,1117044.57029044
2023-12-16,2.1914,2.4448,2.1378,2.3904,1410786.14299808
2023-12-17,2.3891,2.4821,2.2562,2.2659,1035487.0277
2023-12-18,2.2671,2.3171,2.066,2.29,1110671.3994
2023-12-19,2.2903,2.4959,2.2608,2.4305,1806058.68338849
2023-12-20,2.4304,3.0541,2.423,2.8457,5525752.87021332
2023-12-21,2.8463,3.6175,2.7806,3.5392,5533355.95661429
2023-12-22,3.5353,3.8023,3.2736,3.3594,3524165.42015369
2023-12-23,3.3591,3.9825,3.2029,3.9014,2930264.41105791
2023-12-24,3.9041,4.098,3.613,3.7928,3120883.98857983
2023-12-25,3.8009,4.3747,3.722,4.2493,3316406.35402465
2023-12-26,4.2516,4.622,3.9432,4.306,3476133.55239241
2023-12-27,4.3121,4.3972,3.991,4.0841,1858586.7031
2023-12-28,4.0822,4.3187,3.7281,3.7573,1910800.4677585
2023-12-29,3.7579,3.9732,3.5208,3.6205,1589321.69399837
2023-12-30,3.6201,3.7773,3.5417,3.6722,1115851.48689714
2023-12-31,3.6775,3.8836,3.523,3.648,1168639.8948
2024-01-01,3.6534,3.8332,3.5687,3.7939,1058163.75763562
2024-01-02,3.7948,4.331,3.7424,3.9221,3097566.78017201
2024-01-03,3.9233,4.091,2.84,3.7727,4441842.8406
2024-01-04,3.7724,4.0514,3.572,3.9097,2619845.5186
2024-01-05,3.9161,3.9503,3.4499,3.5504,2179539.5431846
2024-01-06,3.5486,3.7062,3.167,3.4765,2362487.68015807
2024-01-07,3.4756,3.5391,3.1515,3.2162,1225994.97715765
2024-01-08,3.2141,3.4795,2.9184,3.4166,2648853.03652437
2024-01-09,3.4155,3.5387,3.0266,3.2196,2248580.88503047
2024-01-10,3.2198,3.6827,3.0798,3.6034,2429057.26610399
2024-01-11,3.6029,3.8403,3.5066,3.6106,2657441.52334514
2024-01-12,3.6116,3.6777,3.3004,3.4567,1888330.70280496
2024-01-13,3.4575,3.5197,3.2989,3.4066,1002058.8884
2024-01-14,3.4043,3.5217,3.2924,3.307,1297995.1787
2024-01-15,3.3077,3.4244,3.2435,3.3041,1145913.04209657
2024-01-16,3.3013,3.3472,3.1768,3.239,1242559.00555644
2024-01-17,3.2395,3.366,3.1551,3.3085,1369806.992
2024-01-18,3.309,3.3772,2.9954,3.0803,1802352.34935019
2024-01-19,3.0834,3.0982,2.7849,3.0092,1278853.0231
2024-01-20,3.0085,3.0085,2.8664,2.9661,722553.43485981
2024-01-21,2.9647,3.0442,2.9173,2.9215,648435.26244033
2024-01-22,2.9217,2.9474,2.5905,2.6479,1759007.36907053
2024-01-23,2.649,2.727,2.4508,2.651,1720496.31323734
2024-01-24,2.6504,2.694,2.5432,2.6805,2368886.89674402
2024-01-25,2.6793,2.7443,2.6039,2.6976,1185889.63979808
2024-01-26,2.6909,3.0055,2.6471,2.9172,2453882.8111
2024-01-27,2.9175,2.9617,2.8268,2.9101,1130116.9992
2024-01-28,2.9132,3.0774,2.8605,2.8796,1925628.81777031
2024-01-29,2.8802,3.0619,2.855,3.0094,1111856.3832
2024-01-30,3.0106,3.2314,2.9598,3.0112,2208348.56469381
2024-01-31,3.0122,3.0287,2.7864,2.8221,1573999.2669
2024-02-01,2.8216,2.8806,2.7265,2.855,1085341.5592
2024-02-02,2.8548,2.9464,2.8323,2.8989,991206.049
2024-02-03,2.9,2.9469,2.7976,2.8169,586852.2349
2024-02-04,2.8162,2.8187,2.7481,2.752,631552.6415
2024-02-05,2.7531,2.8144,2.6951,2.7506,733611.4309
2024-02-06,2.7509,2.7793,2.6838,2.7355,710548.63158199
2024-02-07,2.7369,2.9707,2.6839,2.8709,982918.4451
2024-02-08,2.8726,3.0016,2.8726,2.9225,1292393.06939232
2024-02-09,2.9228,3.0566,2.9211,2.995,1746520.44497633
2024-02-10,2.996,3.1476,2.9615,3.0413,1275995.8017
2024-02-11,3.0413,3.2214,3.0352,3.1262,1719215.6600445
2024-02-12,3.1256,3.3992,3.07,3.3809,2230053.7223
2024-02-13,3.3818,3.4459,3.1624,3.216,1392969.8682
2024-02-14,3.2134,3.4544,3.1673,3.3345,1386163.82159726
2024-02-15,3.3348,3.4091,3.26,3.398,1260311.501
2024-02-16,3.3996,3.46,3.1711,3.2789,1380298.3694
