timestamp,open,high,low,close,volume
2023-11-16,20.701,24.673,18.933,20.782,6600820.50844898
2023-11-23,20.786,21.87,19.509,21.112,1929331.21510592
2023-11-30,21.117,27.715,20.501,26.209,2622946.21165034
2023-12-07,26.225,42.9,25.738,38.971,7744332.70057197
2023-12-14,38.975,45.36,36.499,43.42,5005541.82346451
2023-12-21,43.446,49.973,40.576,42.418,4082098.435195
2023-12-28,42.412,43.425,30.42,36.786,3004014.36023325
2024-01-04,36.792,39.549,31.127,38.53,2945682.06839001
2024-01-11,38.538,41.772,34.339,36.057,2220528.61557942
2024-01-18,36.058,36.184,27.23,31.191,2722130.74676758
2024-01-25,31.192,37.146,29.622,33.171,2504845.99315571
2024-02-01,33.175,37.6,32.288,35.299,1291388.05761712
2024-02-08,35.299,42.415,34.96,42.238,1713858.96525607
2024-02-15,42.218,43.6,35.885,37.622,1238100.10425019
2024-02-22,37.611,41.286,35.14,40.351,1485531.0119568
2024-02-29,40.344,45.191,33.0,41.55,3166505.97428129
2024-03-07,41.553,57.456,39.947,54.799,3396745.48023607
2024-03-14,54.798,65.424,48.261,57.075,7393372.64003704
2024-03-21,57.062,59.296,51.628,54.122,2531992.89780951
2024-03-28,54.088,55.05,44.98,45.876,1062993.57348456
2024-04-04,45.866,50.797,43.942,47.302,1116135.17010855
2024-04-11,47.302,47.503,28.82,33.593,3137310.95125002
2024-04-18,33.57,39.918,31.922,36.356,1639992.11307154
2024-04-25,36.37,36.746,30.585,33.323,1249927.59818809
2024-05-02,33.335,39.867,32.3,34.019,1240504.12178997
2024-05-09,34.018,36.112,31.348,34.672,797168.25437748
2024-05-16,34.668,41.785,33.736,40.019,777716.71718789
2024-05-23,40.024,40.458,36.15,36.194,595915.68670621
2024-05-30,36.186,37.08,34.434,36.567,398453.06984772
2024-06-06,36.568,37.205,30.335,33.28,705114.70485776
2024-06-13,33.264,33.435,24.753,26.95,752989.96242723
2024-06-20,26.941,28.886,23.514,25.817,1300616.62067971
2024-06-27,25.822,30.111,25.358,26.502,813497.210157
2024-07-04,26.488,27.611,21.792,25.758,814573.9859744
2024-07-11,25.757,29.88,24.812,27.234,1105066.75524689
2024-07-18,27.237,33.015,26.582,28.378,1107942.71550825
2024-07-25,28.362,29.508,25.442,25.708,950776.40239591
2024-08-01,25.707,25.927,17.271,19.866,1446228.08269529
2024-08-08,19.855,22.801,19.53,20.956,635622.80017107
2024-08-15,20.956,23.794,19.78,23.528,688517.11761866
2024-08-22,23.54,27.999,23.05,23.44,969753.37248056
2024-08-29,23.433,24.672,20.461,21.905,654093.38716912
2024-09-05,21.906,24.592,20.473,23.273,858363.63567986
2024-09-12,23.271,25.659,22.781,24.692,753601.65119813
2024-09-19,24.706,28.812,24.706,27.287,1028334.23243398
2024-09-26,27.29,30.847,25.005,25.332,1102398.95891452
2024-10-03,25.33,27.735,23.887,25.771,807436.79687217
2024-10-10,25.766,29.854,25.068,28.028,835461.71817447
2024-10-17,28.027,29.318,25.89,26.759,658329.25150157
2024-10-24,26.761,27.258,23.966,26.176,548707.4879269
2024-10-31,26.175,27.319,22.352,27.015,717453.69673741
2024-11-07,27.01,37.668,26.528,33.101,2023680.50543587
2024-11-14,33.12,37.27,30.607,33.59,1322831.39456297
2024-11-21,33.597,47.909,32.322,43.785,2405573.208455
2024-11-28,43.792,55.771,41.495,52.782,1803288.31004723
2024-12-05,52.775,54.384,39.379,48.45,1348793.89952706
