timestamp,open,high,low,close,volume
2023-11-16,5.5673,5.8009,4.8201,5.1732,4946129.18588994
2023-11-23,5.1745,5.411,5.0348,5.1613,2622598.18022423
2023-11-30,5.1602,6.2054,5.1183,6.0447,5088887.35058996
2023-12-07,6.0485,7.6869,5.8924,7.6029,7379924.64588653
2023-12-14,7.6102,7.8035,6.3731,6.9508,5058567.81349646
2023-12-21,6.9509,9.5884,6.9164,8.6919,9476156.56731781
2023-12-28,8.6967,8.9093,6.4005,7.6296,5867048.92392223
2024-01-04,7.6296,8.0873,6.5088,7.9892,6080044.62330432
2024-01-11,7.9961,8.58,7.2564,7.3493,5325766.91768177
2024-01-18,7.3516,7.3894,5.9753,6.463,4375931.88264258
2024-01-25,6.4632,7.299,6.3483,6.6573,3499358.34210085
2024-02-01,6.6511,7.0241,6.5306,6.9373,2091392.35843361
2024-02-08,6.9409,7.7094,6.8711,7.6498,3408161.43575664
2024-02-15,7.6485,8.1495,7.225,7.4664,3752701.16459374
2024-02-22,7.4679,8.7141,7.2727,8.3435,5269322.508497
2024-02-29,8.3434,10.7594,8.0295,10.5431,12077029.06996169
2024-03-07,10.5425,11.3891,9.7861,11.3656,7648489.78139098
2024-03-14,11.374,11.8875,8.4877,9.482,10598282.42910606
2024-03-21,9.4774,10.0559,8.6939,9.4467,4459900.98831433
2024-03-28,9.4408,9.8046,8.2847,8.4167,1833375.13521014
2024-04-04,8.4154,9.1088,8.075,8.4114,1809723.07494488
2024-04-11,8.4075,8.5244,5.693,6.5827,5417257.03052934
2024-04-18,6.5789,7.5801,6.273,6.9273,2075422.88618106
2024-04-25,6.9322,7.0008,6.0327,6.8966,2675306.85124589
2024-05-02,6.8987,7.4716,6.6947,6.983,2749151.80291943
2024-05-09,6.9831,7.1471,6.4344,6.9591,2269268.53882251
2024-05-16,6.9606,7.7001,6.8135,7.4619,2738083.24430789
2024-05-23,7.4672,7.7727,6.8768,7.1776,2087529.0899853
2024-05-30,7.1756,7.2973,6.8052,7.2509,1589912.50261162
2024-06-06,7.252,7.3,6.0249,6.7396,2991221.59679653
2024-06-13,6.7382,6.7414,5.424,5.7999,2977982.91447094
2024-06-20,5.7985,5.9752,5.3632,5.7984,2581737.33483405
2024-06-27,5.7998,6.6088,5.7079,6.0773,2732319.25760124
2024-07-04,6.0821,6.3112,4.9109,6.0994,4978561.09858931
2024-07-11,6.0977,6.5387,5.8028,6.2576,2558875.41502784
2024-07-18,6.2546,6.4758,5.6584,5.749,1851412.66000656
2024-07-25,5.7461,5.9403,5.3352,5.3864,1660900.06355789
