timestamp,open,high,low,close,volume
2023-11-16,1.701,2.1873,1.63,1.8254,18218091.78424633
2023-11-23,1.8257,1.9154,1.7308,1.8004,5616534.07714127
2023-11-30,1.7992,2.396,1.7857,2.287,9954035.04043967
2023-12-07,2.2877,2.6129,2.1005,2.3273,10249131.98981004
2023-12-14,2.3301,3.0541,2.066,2.8457,13322810.43174146
2023-12-21,2.8463,4.622,2.7806,4.0841,23759796.38592278
2023-12-28,4.0822,4.331,2.84,3.7727,14382186.92186164
2024-01-04,3.7724,4.0514,2.9184,3.6034,15714358.90675915
2024-01-11,3.6029,3.8403,3.1551,3.3085,10604105.33290311
2024-01-18,3.309,3.3772,2.4508,2.6805,10300584.64880222
2024-01-25,2.6793,3.2314,2.6039,2.8221,11589722.4826622
2024-02-01,2.8216,2.9707,2.6838,2.8709,5722030.99218199
2024-02-08,2.8726,3.4544,2.8726,3.3345,11043312.38821041
2024-02-15,3.3348,3.617,3.0842,3.2415,9552324.519
2024-02-22,3.2394,4.1988,3.1178,3.8981,17030070.50364412
2024-02-29,3.8962,5.9423,3.4015,5.893,18439347.98448907
2024-03-07,5.8977,8.5328,5.0964,7.7606,23310530.34854598
2024-03-14,7.7562,9.0099,6.0115,6.9138,37793137.17044665
2024-03-21,6.9128,8.1,6.2116,7.2554,33760538.40204006
2024-03-28,7.2542,7.4405,5.9988,6.5956,18332251.53703542
2024-04-04,6.5888,7.6964,6.3377,6.9833,19742260.52690079
2024-04-11,6.9827,7.328,3.9696,5.4134,27108258.68176949
2024-04-18,5.4081,7.3326,5.2237,6.8593,19689499.61217483
2024-04-25,6.8589,7.6417,5.7279,6.1385,22911757.91967334
2024-05-02,6.1376,7.9193,5.8693,6.8089,13284591.03460259
2024-05-09,6.8058,8.089,6.5483,8.0498,10966058.14506403
2024-05-16,8.0437,8.5229,7.6474,7.9892,9580884.29429207
2024-05-23,7.9836,8.3738,7.2891,7.5862,8740743.22077955
2024-05-30,7.5837,7.7047,7.0087,7.6593,4394131.17851766
2024-06-06,7.6605,7.6799,5.8702,6.4027,5447446.66989174
2024-06-13,6.3972,6.3972,4.4364,4.9643,9428568.98071439
2024-06-20,4.964,5.6357,4.9216,5.177,11180105.54704249
2024-06-27,5.1777,5.5983,4.854,5.0314,7812090.64130329
2024-07-04,5.033,5.0916,3.9679,4.6255,8060779.09994921
2024-07-11,4.6264,6.4875,4.5444,6.0681,7500229.22254169
2024-07-18,6.07,6.4601,5.5444,5.6207,5513030.08941688
2024-07-25,5.6197,5.95,4.9639,4.9899,5448023.91850476
2024-08-01,4.9915,5.1325,3.0748,3.5658,10263332.08072527
2024-08-08,3.5699,4.4116,3.4693,4.1695,6688951.71529223
2024-08-15,4.1693,4.3008,3.8257,4.2442,5206392.4728
2024-08-22,4.2477,5.2574,4.1668,4.3442,7168623.97836398
2024-08-29,4.3431,4.543,3.5521,3.8877,6373411.5206755
2024-09-05,3.8888,4.105,3.4195,3.9678,6314064.67558512
2024-09-12,3.9673,4.395,3.8322,4.2501,5906563.38599221
2024-09-19,4.256,5.4608,4.256,5.1432,9048270.92521615
2024-09-26,5.1436,5.8743,4.5225,4.6279,8843113.74700207
2024-10-03,4.6279,5.3259,4.4186,4.6085,9019075.75493081
2024-10-10,4.6085,5.2819,4.4227,4.9501,6386151.61883974
2024-10-17,4.9475,5.0569,4.4434,4.6563,3735463.95507956
2024-10-24,4.6499,4.7802,3.9661,4.3118,4717881.4003117
2024-10-31,4.3109,4.3328,3.5039,4.2336,7066355.09911653
2024-11-07,4.2331,5.7531,4.09,5.171,14778765.451676
2024-11-14,5.1721,6.3868,5.0126,5.4759,10176305.54849985
2024-11-21,5.4717,7.2568,5.302,6.8162,12918501.43863088
2024-11-28,6.8162,7.7098,6.4118,7.4623,10284706.44458168
2024-12-05,7.4704,8.2421,5.7614,6.8477,11200962.48373742
2024-12-12,6.8525,7.3239,5.6501,5.6908,9015733.80696289
2024-12-19,5.6862,5.8734,4.5346,5.4483,9651437.60176786
2024-12-26,5.4494,5.4986,4.8752,5.2852,5967690.27496948
2025-01-02,5.2994,6.2343,4.8649,5.1548,6810038.52996744
2025-01-09,5.1509,5.336,4.4091,5.3149,7420741.94203285
2025-01-16,5.3165,5.8855,4.7554,5.1012,8376466.92602939
2025-01-23,5.0882,5.1785,4.2533,4.4185,5392318.91918459
2025-01-30,4.4191,4.8465,2.6665,3.2787,9515528.91536522
2025-02-06,3.2792,3.477,3.0341,3.4304,9430858.4329296
2025-02-13,3.4309,3.6312,3.026,3.1578,8482959.27228368
2025-02-20,3.1577,3.6436,2.7538,3.0227,12044810.89237014
2025-02-27,3.0242,3.564,2.5602,2.9894,19509993.16370234
2025-03-06,2.9895,3.2485,2.1396,2.5564,24231347.27421575
2025-03-13,2.5559,2.8232,2.4792,2.7908,22402783.85387529
2025-03-20,2.7908,3.0753,2.6763,2.9844,18213368.03140305
2025-03-27,2.9847,3.0916,2.4027,2.4488,22167294.94827618
2025-04-03,2.4496,2.5723,1.8212,2.1033,38049809.61981179
2025-04-10,2.1028,2.1446,1.9123,1.9666,9629021.1476
2025-04-17,1.9668,2.5495,1.9575,2.4702,27631946.87190541
2025-04-24,2.4693,2.7286,2.3593,2.4634,24851750.43498907
2025-05-01,2.464,2.6346,2.2232,2.2844,27468499.8842954
2025-05-08,2.2849,3.3828,2.2746,3.051,32961648.90898745
2025-05-15,3.0516,3.0988,2.64,2.8634,26826309.52156018
2025-05-22,2.8638,3.1603,2.6368,2.8703,21612304.3390932
2025-05-29,2.8704,2.9922,2.334,2.4346,26017139.23991895
2025-06-05,2.4347,2.7304,2.224,2.5733,21614115.39381068
2025-06-12,2.5735,2.5805,2.0719,2.187,31276180.94540092
2025-06-19,2.1867,2.229,1.7933,2.1374,28169325.18925083
2025-06-26,2.1379,2.2952,2.0174,2.2207,24301055.74251773
2025-07-03,2.2206,2.3631,2.0974,2.3382,15393448.07886211
2025-07-10,2.3392,2.8171,2.3192,2.7305,19262598.12083985
2025-07-17,2.7312,3.0996,2.659,2.7521,18161733.40348881
2025-07-24,2.7518,3.0132,2.5083,2.658,17099153.70522791
2025-07-31,2.6582,2.7365,2.3018,2.4874,18431500.8582113
2025-08-07,2.4872,3.0461,2.4676,2.997,21395164.10601315
2025-08-14,2.998,3.0597,2.4134,2.5463,20657859.79822506
2025-08-21,2.5463,2.7876,2.3488,2.5205,20576094.89456252
2025-08-28,2.519,2.5671,2.2784,2.4686,15932518.69003381
2025-09-04,2.4685,2.7953,2.3596,2.7266,13311359.52194529
2025-09-11,2.7261,2.8908,2.5772,2.8238,13999141.06310412
2025-09-18,2.8245,3.34,2.747,3.0228,17402711.77717151
2025-09-25,3.0243,3.0364,2.5634,2.8348,16098634.47026806
2025-10-02,2.8357,3.1811,2.8219,2.9648,18045698.43094521
2025-10-09,2.9649,3.228,1.3633,2.325,26975034.67680636
2025-10-16,2.325,2.3799,2.0563,2.1643,19132408.19943919
2025-10-23,2.1642,2.4183,2.1445,2.2756,15852940.68505644
2025-10-30,2.2756,2.3065,1.72,1.9512,22572733.69755951
2025-11-06,1.9507,3.1876,1.8879,2.5342,43574904.16587896
2025-11-13,2.5337,2.6236,2.1501,2.3766,31705016.12887499
2025-11-20,2.3758,2.4135,1.7976,1.9377,33699712.9600909
2025-11-27,1.9373,1.9561,1.5841,1.8456,19460404.68823405
2025-12-04,1.8457,1.8992,1.6409,1.7609,20255667.16945577
2025-12-11,1.7602,1.7649,1.4676,1.4813,23019504.67691359
2025-12-18,1.4815,1.5999,1.4056,1.4551,22146857.28558365
2025-12-25,1.4553,1.6153,1.4326,1.5138,13735864.41163163
2026-01-01,1.5147,1.8422,1.5001,1.7222,13008920.76556491
2026-01-08,1.7226,1.8944,1.6448,1.799,12186570.8857
2026-01-15,1.7991,1.8147,1.447,1.5294,15287324.205341
2026-01-22,1.5295,1.5588,1.4094,1.4891,11846831.47914315
2026-01-29,1.4891,1.496,1.0917,1.159,19596675.76663363
2026-02-05,1.1598,1.168,0.8419,0.9614,23703280.46533052
2026-02-12,0.9619,1.1019,0.934,1.0176,23204964.24104287
2026-02-19,1.0176,1.2602,0.9542,1.1728,36494289.92954882
2026-02-26,1.1722,1.4549,1.0283,1.3115,45071896.64956926
2026-03-05,1.3112,1.3326,1.19,1.299,30010652.144564036
2026-03-12,1.2991,1.5096,1.2781,1.3862,83668521.01392391
2026-03-19,1.3865,1.3963,1.2523,1.2792,58354893.71498514
2026-03-26,1.2789,1.2799,1.1293,1.191,162344291.2721579
2026-04-02,1.192,1.3913,1.1398,1.3301,130445737.06108399
2026-04-09,1.3302,1.4388,1.3205,1.4093,163164520.51064858
2026-04-16,1.4099,1.4428,1.3211,1.4025,173357504.45670894
2026-04-23,1.4033,1.4328,1.3403,1.3618,75175270.5324313
