timestamp,open,high,low,close,volume
2023-11-16,0.62013,0.64324,0.49869,0.55629,48428481.95773704
2023-11-23,0.55709,0.6888,0.55196,0.6017,46560126.73620822
2023-11-30,0.60014,0.66239,0.5549,0.62128,47933246.79332803
2023-12-07,0.62058,0.72562,0.60243,0.65315,42956777.055
2023-12-14,0.65338,0.74652,0.56398,0.68746,46773704.90349452
2023-12-21,0.68746,0.92108,0.65497,0.8309,69605368.38289453
2023-12-28,0.83073,0.94169,0.66972,0.84256,64701727.28812833
2024-01-04,0.84256,0.90077,0.72087,0.84208,69469642.9005935
2024-01-11,0.84239,1.45044,0.83016,1.29285,119234635.88402241
2024-01-18,1.29375,1.3472,1.01,1.2918,71375918.53517893
2024-01-25,1.29232,1.64931,1.15726,1.51996,74309468.19474585
2024-02-01,1.51879,1.66111,1.38788,1.54131,44275509.63950135
2024-02-08,1.54098,1.97379,1.50321,1.90625,38722594.30533269
2024-02-15,1.9064,1.94653,1.61081,1.69227,21781374.75345081
2024-02-22,1.69159,1.77137,1.35253,1.58382,23162842.3136084
2024-02-29,1.58355,1.74408,1.13033,1.47252,44283924.13755189
2024-03-07,1.47524,1.69605,1.42632,1.62106,31144774.8567629
2024-03-14,1.62133,1.78,1.339,1.753,59642489.20783961
2024-03-21,1.752,2.182,1.619,2.075,52105144.00389374
2024-03-28,2.075,2.167,1.635,1.668,20772714.66760936
2024-04-04,1.667,1.742,1.459,1.522,12065068.51705935
2024-04-11,1.522,1.56,0.884,1.26,29169103.15021025
2024-04-18,1.26,1.444,1.135,1.25,11882054.12922084
2024-04-25,1.25,1.265,1.07,1.148,9373059.06
2024-05-02,1.147,1.161,1.003,1.01,15165062.28877368
2024-05-09,1.01,1.109,0.885,0.992,12394258.30754325
2024-05-16,0.991,1.172,0.976,1.106,12448541.54
2024-05-23,1.106,1.133,1.001,1.015,7366628.75957446
2024-05-30,1.016,1.105,0.98,1.104,5727722.88
2024-06-06,1.103,1.171,0.96,1.018,11487960.33693093
2024-06-13,1.016,1.02,0.747,0.866,10204710.23908454
2024-06-20,0.865,0.943,0.809,0.829,9056255.11952908
2024-06-27,0.829,0.872,0.768,0.777,7025266.311
2024-07-04,0.775,0.783,0.573,0.738,13143436.222
2024-07-11,0.738,0.891,0.727,0.839,13320118.57378764
2024-07-18,0.841,0.902,0.766,0.771,10828056.69
2024-07-25,0.77,0.799,0.694,0.708,9554705.34511549
2024-08-01,0.707,0.717,0.462,0.616,16827929.87082593
2024-08-08,0.616,1.117,0.601,0.934,35007896.29343136
2024-08-15,0.935,0.939,0.799,0.85,16918655.80885124
2024-08-22,0.849,1.056,0.764,0.809,19954288.38287243
2024-08-29,0.809,0.855,0.742,0.81,15869280.21679647
2024-09-05,0.81,0.986,0.78,0.931,28138718.10342958
2024-09-12,0.93,1.318,0.928,1.315,38278562.79373963
2024-09-19,1.315,1.793,1.308,1.699,47752150.74827708
2024-09-26,1.698,1.943,1.602,1.854,48274619.66148168
2024-10-03,1.853,2.167,1.606,1.876,65255001.82206045
2024-10-10,1.875,2.368,1.747,2.083,58797653.86275213
2024-10-17,2.087,2.179,1.865,1.977,30360269.72898717
2024-10-24,1.979,2.131,1.6,2.083,41520737.79971505
2024-10-31,2.084,2.352,1.772,2.304,43726838.27435009
2024-11-07,2.305,3.448,2.204,3.304,108408179.41605002
2024-11-14,3.305,3.947,3.102,3.524,84178535.41590285
2024-11-21,3.525,3.71,2.973,3.434,67036415.46814562
2024-11-28,3.433,3.876,3.179,3.675,40945174.43468746
2024-12-05,3.675,4.487,3.328,4.37,58319656.84535119
2024-12-12,4.372,4.96,4.214,4.335,44353410.20385418
